ICD-10 category (3 characters),2019,2020,2021,2022,2023,2024,Total 2019–2024
K42,6 (0.3%),3 (0.2%),5 (0.2%),17 (0.4%),23 (0.4%),42 (0.5%),96
J04,8 (0.3%),7 (0.4%),11 (0.5%),18 (0.5%),26 (0.4%),26 (0.3%),96
Z20,2 (0.1%),11 (0.7%),23 (1.0%),34 (0.9%),11 (0.2%),15 (0.2%),96
E73,8 (0.3%),14 (0.9%),10 (0.4%),10 (0.3%),23 (0.4%),30 (0.3%),95
F44,16 (0.7%),6 (0.4%),8 (0.3%),18 (0.5%),13 (0.2%),33 (0.4%),94
F95 — Tic disorders,8 (0.3%),3 (0.2%),7 (0.3%),20 (0.5%),31 (0.5%),24 (0.3%),93
R26,13 (0.6%),11 (0.7%),14 (0.6%),12 (0.3%),19 (0.3%),24 (0.3%),93
L60,10 (0.4%),7 (0.4%),6 (0.3%),13 (0.3%),26 (0.4%),31 (0.4%),93
Z22,4 (0.2%),6 (0.4%),12 (0.5%),12 (0.3%),24 (0.4%),35 (0.4%),93
"M79 — Other soft tissue disorders, not elsewhere classified",4 (0.2%),6 (0.4%),18 (0.8%),13 (0.3%),20 (0.3%),31 (0.4%),92
Z96 — Presence of other functional implants,9 (0.4%),5 (0.3%),14 (0.6%),13 (0.3%),26 (0.4%),25 (0.3%),92
I51,4 (0.2%),9 (0.6%),12 (0.5%),13 (0.3%),29 (0.5%),24 (0.3%),91
"E30 — Disorders of puberty, not elsewhere classified",11 (0.5%),4 (0.2%),3 (0.1%),10 (0.3%),23 (0.4%),40 (0.5%),91
Z47,11 (0.5%),10 (0.6%),9 (0.4%),10 (0.3%),18 (0.3%),33 (0.4%),91
H10 — Conjunctivitis,5 (0.2%),5 (0.3%),7 (0.3%),15 (0.4%),33 (0.5%),26 (0.3%),91
"W01 — Fall on same level from slipping, tripping and stumbling",4 (0.2%),3 (0.2%),9 (0.4%),17 (0.4%),25 (0.4%),32 (0.4%),90
K29 — Gastritis and duodenitis,8 (0.3%),6 (0.4%),7 (0.3%),18 (0.5%),20 (0.3%),31 (0.4%),90
R41 — Other symptoms and signs involving cognitive functions and awareness,1 (0.0%),5 (0.3%),6 (0.3%),11 (0.3%),24 (0.4%),43 (0.5%),90
R44,0 (0.0%),4 (0.2%),8 (0.3%),18 (0.5%),21 (0.3%),38 (0.4%),89
K51,5 (0.2%),11 (0.7%),3 (0.1%),11 (0.3%),26 (0.4%),33 (0.4%),89
Z54,7 (0.3%),13 (0.8%),15 (0.6%),11 (0.3%),16 (0.2%),26 (0.3%),88
S61 — Open wound of wrist and hand,7 (0.3%),2 (0.1%),11 (0.5%),11 (0.3%),26 (0.4%),30 (0.3%),87
U82,5 (0.2%),6 (0.4%),9 (0.4%),8 (0.2%),29 (0.5%),29 (0.3%),86
"Q38 — Other congenital malformations of tongue, mouth and pharynx",9 (0.4%),6 (0.4%),6 (0.3%),14 (0.4%),18 (0.3%),33 (0.4%),86
H90 — Conductive and sensorineural hearing loss,8 (0.3%),6 (0.4%),6 (0.3%),6 (0.2%),35 (0.5%),24 (0.3%),85
G25 — Other extrapyramidal and movement disorders,17 (0.7%),13 (0.8%),5 (0.2%),10 (0.3%),11 (0.2%),28 (0.3%),84
Q61,7 (0.3%),6 (0.4%),7 (0.3%),10 (0.3%),17 (0.3%),36 (0.4%),83
T21,7 (0.3%),9 (0.6%),9 (0.4%),8 (0.2%),18 (0.3%),31 (0.4%),82
K05,10 (0.4%),7 (0.4%),19 (0.8%),15 (0.4%),10 (0.2%),21 (0.2%),82
L30,4 (0.2%),2 (0.1%),7 (0.3%),11 (0.3%),29 (0.5%),29 (0.3%),82
"L02 — Cutaneous abscess, furuncle and carbuncle",6 (0.3%),5 (0.3%),12 (0.5%),14 (0.4%),21 (0.3%),24 (0.3%),82
E27,8 (0.3%),2 (0.1%),8 (0.3%),10 (0.3%),31 (0.5%),22 (0.3%),81
S00 — Superficial injury of head,9 (0.4%),6 (0.4%),11 (0.5%),15 (0.4%),19 (0.3%),21 (0.2%),81
Y43,6 (0.3%),12 (0.7%),9 (0.4%),11 (0.3%),20 (0.3%),23 (0.3%),81
K04 — Diseases of pulp and periapical tissues,8 (0.3%),5 (0.3%),13 (0.5%),19 (0.5%),17 (0.3%),18 (0.2%),80
I50,7 (0.3%),4 (0.2%),7 (0.3%),14 (0.4%),20 (0.3%),28 (0.3%),80
Z94,5 (0.2%),5 (0.3%),8 (0.3%),17 (0.4%),20 (0.3%),25 (0.3%),80
K85,6 (0.3%),12 (0.7%),9 (0.4%),16 (0.4%),16 (0.2%),21 (0.2%),80
G70,1 (0.0%),4 (0.2%),4 (0.2%),15 (0.4%),16 (0.2%),39 (0.4%),79
M62,6 (0.3%),4 (0.2%),8 (0.3%),13 (0.3%),21 (0.3%),26 (0.3%),78
T74,2 (0.1%),1 (0.1%),6 (0.3%),8 (0.2%),16 (0.2%),45 (0.5%),78
H65 — Nonsuppurative otitis media,14 (0.6%),3 (0.2%),3 (0.1%),12 (0.3%),18 (0.3%),28 (0.3%),78
T50 — Poisoning by diuretics and other and unspecified drugs and medicaments,3 (0.1%),3 (0.2%),6 (0.3%),12 (0.3%),24 (0.4%),30 (0.3%),78
Q54,6 (0.3%),3 (0.2%),8 (0.3%),14 (0.4%),20 (0.3%),27 (0.3%),78
S62 — Fracture at wrist and hand level,7 (0.3%),1 (0.1%),3 (0.1%),9 (0.2%),24 (0.4%),34 (0.4%),78
K91,9 (0.4%),7 (0.4%),9 (0.4%),10 (0.3%),22 (0.3%),20 (0.2%),77
Q23,21 (0.9%),4 (0.2%),7 (0.3%),15 (0.4%),12 (0.2%),18 (0.2%),77
C71 — Malignant neoplasm of brain,1 (0.0%),4 (0.2%),12 (0.5%),16 (0.4%),12 (0.2%),32 (0.4%),77
R55,5 (0.2%),4 (0.2%),14 (0.6%),6 (0.2%),12 (0.2%),35 (0.4%),76
T18 — Foreign body in alimentary tract,7 (0.3%),3 (0.2%),9 (0.4%),11 (0.3%),26 (0.4%),20 (0.2%),76
S72 — Fracture of femur,8 (0.3%),4 (0.2%),5 (0.2%),14 (0.4%),20 (0.3%),24 (0.3%),75
E53,2 (0.1%),3 (0.2%),2 (0.1%),6 (0.2%),25 (0.4%),37 (0.4%),75
F34,6 (0.3%),2 (0.1%),10 (0.4%),5 (0.1%),25 (0.4%),27 (0.3%),75
K66,3 (0.1%),4 (0.2%),10 (0.4%),7 (0.2%),18 (0.3%),33 (0.4%),75
Q60,9 (0.4%),6 (0.4%),7 (0.3%),11 (0.3%),18 (0.3%),23 (0.3%),74
Q24,8 (0.3%),7 (0.4%),6 (0.3%),9 (0.2%),19 (0.3%),25 (0.3%),74
I88,4 (0.2%),4 (0.2%),8 (0.3%),14 (0.4%),25 (0.4%),18 (0.2%),73
Q93,10 (0.4%),2 (0.1%),12 (0.5%),7 (0.2%),12 (0.2%),30 (0.3%),73
Z43,14 (0.6%),6 (0.4%),12 (0.5%),7 (0.2%),17 (0.3%),17 (0.2%),73
D82,2 (0.1%),3 (0.2%),7 (0.3%),12 (0.3%),21 (0.3%),28 (0.3%),73
N43 — Hydrocele and spermatocele,11 (0.5%),4 (0.2%),9 (0.4%),12 (0.3%),14 (0.2%),21 (0.2%),71
G82,17 (0.7%),6 (0.4%),6 (0.3%),9 (0.2%),11 (0.2%),21 (0.2%),70
R27,3 (0.1%),4 (0.2%),11 (0.5%),16 (0.4%),10 (0.2%),25 (0.3%),69
N44,4 (0.2%),6 (0.4%),7 (0.3%),13 (0.3%),19 (0.3%),20 (0.2%),69
T45,4 (0.2%),5 (0.3%),12 (0.5%),11 (0.3%),19 (0.3%),18 (0.2%),69
J01,6 (0.3%),2 (0.1%),7 (0.3%),4 (0.1%),31 (0.5%),19 (0.2%),69
F05,6 (0.3%),6 (0.4%),7 (0.3%),7 (0.2%),22 (0.3%),21 (0.2%),69
I42,20 (0.9%),6 (0.4%),6 (0.3%),10 (0.3%),12 (0.2%),15 (0.2%),69
R21,2 (0.1%),3 (0.2%),8 (0.3%),7 (0.2%),20 (0.3%),29 (0.3%),69
W22,5 (0.2%),6 (0.4%),3 (0.1%),10 (0.3%),15 (0.2%),30 (0.3%),69
E23,9 (0.4%),6 (0.4%),8 (0.3%),7 (0.2%),8 (0.1%),31 (0.4%),69
R59,5 (0.2%),7 (0.4%),3 (0.1%),10 (0.3%),9 (0.1%),34 (0.4%),68
Q55,4 (0.2%),3 (0.2%),7 (0.3%),12 (0.3%),14 (0.2%),28 (0.3%),68
K62,2 (0.1%),4 (0.2%),6 (0.3%),8 (0.2%),22 (0.3%),26 (0.3%),68
U08,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),39 (0.6%),28 (0.3%),67
N04,4 (0.2%),3 (0.2%),6 (0.3%),8 (0.2%),12 (0.2%),34 (0.4%),67
W19 — Unspecified fall,4 (0.2%),7 (0.4%),9 (0.4%),15 (0.4%),10 (0.2%),22 (0.3%),67
L22,12 (0.5%),3 (0.2%),4 (0.2%),12 (0.3%),19 (0.3%),16 (0.2%),66
X12,5 (0.2%),6 (0.4%),4 (0.2%),11 (0.3%),12 (0.2%),28 (0.3%),66
Z01 — Other special examinations and investigations of persons without complaint or reported diagnosis,10 (0.4%),9 (0.6%),8 (0.3%),15 (0.4%),4 (0.1%),20 (0.2%),66
D80,6 (0.3%),1 (0.1%),1 (0.0%),9 (0.2%),26 (0.4%),23 (0.3%),66
K72,5 (0.2%),6 (0.4%),7 (0.3%),14 (0.4%),16 (0.2%),17 (0.2%),65
X44,6 (0.3%),9 (0.6%),8 (0.3%),10 (0.3%),16 (0.2%),16 (0.2%),65
R01,6 (0.3%),12 (0.7%),4 (0.2%),8 (0.2%),14 (0.2%),21 (0.2%),65
E56,2 (0.1%),1 (0.1%),5 (0.2%),5 (0.1%),19 (0.3%),32 (0.4%),64
F73 — Profound mental retardation,15 (0.6%),9 (0.6%),12 (0.5%),8 (0.2%),11 (0.2%),9 (0.1%),64
N20,2 (0.1%),3 (0.2%),7 (0.3%),7 (0.2%),20 (0.3%),24 (0.3%),63
W54,4 (0.2%),4 (0.2%),7 (0.3%),13 (0.3%),18 (0.3%),17 (0.2%),63
D61,6 (0.3%),4 (0.2%),10 (0.4%),5 (0.1%),19 (0.3%),18 (0.2%),62
Q33,13 (0.6%),12 (0.7%),8 (0.3%),9 (0.2%),9 (0.1%),11 (0.1%),62
L21,4 (0.2%),5 (0.3%),5 (0.2%),5 (0.1%),16 (0.2%),26 (0.3%),61
B85,8 (0.3%),7 (0.4%),5 (0.2%),11 (0.3%),13 (0.2%),17 (0.2%),61
G62,10 (0.4%),3 (0.2%),13 (0.5%),6 (0.2%),12 (0.2%),16 (0.2%),60
T80,3 (0.1%),6 (0.4%),7 (0.3%),4 (0.1%),18 (0.3%),22 (0.3%),60
Y71,2 (0.1%),5 (0.3%),4 (0.2%),11 (0.3%),16 (0.2%),22 (0.3%),60
J38,6 (0.3%),4 (0.2%),5 (0.2%),7 (0.2%),26 (0.4%),11 (0.1%),59
H54,10 (0.4%),4 (0.2%),4 (0.2%),13 (0.3%),13 (0.2%),15 (0.2%),59
M86,1 (0.0%),3 (0.2%),4 (0.2%),14 (0.4%),22 (0.3%),15 (0.2%),59
D63,0 (0.0%),8 (0.5%),4 (0.2%),6 (0.2%),14 (0.2%),27 (0.3%),59
I46,13 (0.6%),5 (0.3%),4 (0.2%),13 (0.3%),11 (0.2%),12 (0.1%),58
Q20,7 (0.3%),8 (0.5%),3 (0.1%),18 (0.5%),8 (0.1%),14 (0.2%),58
J02,4 (0.2%),3 (0.2%),5 (0.2%),8 (0.2%),18 (0.3%),20 (0.2%),58
B00,3 (0.1%),3 (0.2%),10 (0.4%),11 (0.3%),15 (0.2%),16 (0.2%),58
R46 — Symptoms and signs involving appearance and behaviour,9 (0.4%),3 (0.2%),6 (0.3%),13 (0.3%),10 (0.2%),17 (0.2%),58
Y75,0 (0.0%),5 (0.3%),15 (0.6%),9 (0.2%),16 (0.2%),13 (0.1%),58
W09,6 (0.3%),2 (0.1%),9 (0.4%),9 (0.2%),17 (0.3%),14 (0.2%),57
Q65,8 (0.3%),7 (0.4%),4 (0.2%),8 (0.2%),11 (0.2%),19 (0.2%),57
B08,13 (0.6%),4 (0.2%),4 (0.2%),15 (0.4%),8 (0.1%),12 (0.1%),56
T20,3 (0.1%),4 (0.2%),3 (0.1%),7 (0.2%),17 (0.3%),22 (0.3%),56
F45,5 (0.2%),2 (0.1%),4 (0.2%),12 (0.3%),19 (0.3%),14 (0.2%),56
L70,0 (0.0%),5 (0.3%),2 (0.1%),7 (0.2%),18 (0.3%),24 (0.3%),56
Q62,3 (0.1%),2 (0.1%),5 (0.2%),8 (0.2%),18 (0.3%),19 (0.2%),55
G72,9 (0.4%),6 (0.4%),5 (0.2%),9 (0.2%),11 (0.2%),15 (0.2%),55
G43 — Migraine,0 (0.0%),2 (0.1%),4 (0.2%),6 (0.2%),9 (0.1%),34 (0.4%),55
S09,4 (0.2%),7 (0.4%),6 (0.3%),6 (0.2%),15 (0.2%),17 (0.2%),55
M33,1 (0.0%),0 (0.0%),14 (0.6%),14 (0.4%),17 (0.3%),9 (0.1%),55
L05,5 (0.2%),2 (0.1%),6 (0.3%),7 (0.2%),10 (0.2%),25 (0.3%),55
J32,3 (0.1%),5 (0.3%),5 (0.2%),8 (0.2%),18 (0.3%),16 (0.2%),55
E44 — Protein-energy malnutrition of moderate and mild degree,6 (0.3%),3 (0.2%),7 (0.3%),13 (0.3%),10 (0.2%),15 (0.2%),54
T88,1 (0.0%),7 (0.4%),5 (0.2%),11 (0.3%),15 (0.2%),15 (0.2%),54
D62,2 (0.1%),4 (0.2%),7 (0.3%),7 (0.2%),7 (0.1%),27 (0.3%),54
C78,6 (0.3%),3 (0.2%),6 (0.3%),13 (0.3%),8 (0.1%),17 (0.2%),53
J13,3 (0.1%),0 (0.0%),1 (0.0%),1 (0.0%),18 (0.3%),30 (0.3%),53
I44,5 (0.2%),1 (0.1%),8 (0.3%),19 (0.5%),8 (0.1%),12 (0.1%),53
F09 — Unspecified organic or symptomatic mental disorder,5 (0.2%),8 (0.5%),9 (0.4%),13 (0.3%),11 (0.2%),7 (0.1%),53
J03,3 (0.1%),1 (0.1%),2 (0.1%),4 (0.1%),17 (0.3%),26 (0.3%),53
K20,5 (0.2%),3 (0.2%),5 (0.2%),7 (0.2%),18 (0.3%),15 (0.2%),53
Q35,9 (0.4%),7 (0.4%),7 (0.3%),6 (0.2%),5 (0.1%),19 (0.2%),53
G24 — Dystonia,10 (0.4%),5 (0.3%),5 (0.2%),6 (0.2%),6 (0.1%),20 (0.2%),52
T14 — Injury of unspecified body region,2 (0.1%),3 (0.2%),4 (0.2%),10 (0.3%),9 (0.1%),24 (0.3%),52
K50,0 (0.0%),2 (0.1%),4 (0.2%),9 (0.2%),16 (0.2%),21 (0.2%),52
I35,2 (0.1%),4 (0.2%),2 (0.1%),11 (0.3%),17 (0.3%),16 (0.2%),52
F92 — Mixed disorders of conduct and emotions,4 (0.2%),5 (0.3%),2 (0.1%),4 (0.1%),14 (0.2%),23 (0.3%),52
Z73 — Problems related to life-management difficulty,7 (0.3%),2 (0.1%),3 (0.1%),8 (0.2%),6 (0.1%),26 (0.3%),52
K63,1 (0.0%),4 (0.2%),5 (0.2%),14 (0.4%),12 (0.2%),15 (0.2%),51
F51 — Nonorganic sleep disorders,6 (0.3%),1 (0.1%),5 (0.2%),10 (0.3%),11 (0.2%),18 (0.2%),51
D84,4 (0.2%),4 (0.2%),2 (0.1%),9 (0.2%),14 (0.2%),17 (0.2%),50
J21 — Acute bronchiolitis,5 (0.2%),0 (0.0%),3 (0.1%),15 (0.4%),10 (0.2%),17 (0.2%),50
N48,2 (0.1%),9 (0.6%),6 (0.3%),6 (0.2%),10 (0.2%),16 (0.2%),49
Z80 — Family history of malignant neoplasm,3 (0.1%),2 (0.1%),3 (0.1%),6 (0.2%),10 (0.2%),25 (0.3%),49
F14,2 (0.1%),1 (0.1%),1 (0.0%),6 (0.2%),18 (0.3%),21 (0.2%),49
U83,4 (0.2%),6 (0.4%),1 (0.0%),6 (0.2%),22 (0.3%),10 (0.1%),49
W06,3 (0.1%),7 (0.4%),6 (0.3%),8 (0.2%),15 (0.2%),10 (0.1%),49
K75,0 (0.0%),4 (0.2%),4 (0.2%),6 (0.2%),15 (0.2%),20 (0.2%),49
E76,27 (1.2%),6 (0.4%),1 (0.0%),1 (0.0%),6 (0.1%),8 (0.1%),49
J40,3 (0.1%),0 (0.0%),8 (0.3%),11 (0.3%),14 (0.2%),13 (0.1%),49
T22,3 (0.1%),6 (0.4%),5 (0.2%),6 (0.2%),13 (0.2%),16 (0.2%),49
T71,3 (0.1%),3 (0.2%),3 (0.1%),12 (0.3%),16 (0.2%),11 (0.1%),48
J42,14 (0.6%),3 (0.2%),2 (0.1%),3 (0.1%),8 (0.1%),18 (0.2%),48
R31,6 (0.3%),1 (0.1%),10 (0.4%),8 (0.2%),6 (0.1%),17 (0.2%),48
J22 — Unspecified acute lower respiratory infection,3 (0.1%),1 (0.1%),3 (0.1%),5 (0.1%),14 (0.2%),22 (0.3%),48
R60,3 (0.1%),7 (0.4%),3 (0.1%),6 (0.2%),12 (0.2%),17 (0.2%),48
B35,5 (0.2%),4 (0.2%),5 (0.2%),7 (0.2%),13 (0.2%),14 (0.2%),48
Y46,4 (0.2%),7 (0.4%),4 (0.2%),7 (0.2%),6 (0.1%),20 (0.2%),48
Z48,16 (0.7%),4 (0.2%),1 (0.0%),4 (0.1%),7 (0.1%),16 (0.2%),48
G83,7 (0.3%),1 (0.1%),10 (0.4%),9 (0.2%),10 (0.2%),10 (0.1%),47
T36 — Poisoning by systemic antibiotics,1 (0.0%),3 (0.2%),1 (0.0%),7 (0.2%),13 (0.2%),21 (0.2%),46
Q74,7 (0.3%),3 (0.2%),6 (0.3%),6 (0.2%),11 (0.2%),13 (0.1%),46
Y47,2 (0.1%),3 (0.2%),4 (0.2%),3 (0.1%),17 (0.3%),17 (0.2%),46
R33,6 (0.3%),0 (0.0%),6 (0.3%),5 (0.1%),11 (0.2%),18 (0.2%),46
D48,5 (0.2%),3 (0.2%),2 (0.1%),7 (0.2%),10 (0.2%),19 (0.2%),46
J86,7 (0.3%),4 (0.2%),0 (0.0%),7 (0.2%),16 (0.2%),12 (0.1%),46
J39,9 (0.4%),5 (0.3%),3 (0.1%),3 (0.1%),8 (0.1%),18 (0.2%),46
K65,2 (0.1%),5 (0.3%),7 (0.3%),9 (0.2%),10 (0.2%),12 (0.1%),45
L08,2 (0.1%),2 (0.1%),9 (0.4%),11 (0.3%),10 (0.2%),11 (0.1%),45
K07,9 (0.4%),2 (0.1%),2 (0.1%),8 (0.2%),11 (0.2%),13 (0.1%),45
Y40,1 (0.0%),5 (0.3%),3 (0.1%),8 (0.2%),16 (0.2%),12 (0.1%),45
F89 — Unspecified disorder of psychological development,5 (0.2%),3 (0.2%),6 (0.3%),4 (0.1%),13 (0.2%),14 (0.2%),45
R15,0 (0.0%),3 (0.2%),4 (0.2%),5 (0.1%),16 (0.2%),17 (0.2%),45
Q63,5 (0.2%),7 (0.4%),3 (0.1%),4 (0.1%),8 (0.1%),18 (0.2%),45
F33 — Recurrent depressive disorder,4 (0.2%),2 (0.1%),0 (0.0%),4 (0.1%),10 (0.2%),25 (0.3%),45
O82 — Single delivery by caesarean section,2 (0.1%),1 (0.1%),6 (0.3%),2 (0.1%),9 (0.1%),25 (0.3%),45
L27,2 (0.1%),7 (0.4%),2 (0.1%),4 (0.1%),14 (0.2%),15 (0.2%),44
I49,3 (0.1%),4 (0.2%),4 (0.2%),4 (0.1%),14 (0.2%),15 (0.2%),44
L40,0 (0.0%),2 (0.1%),5 (0.2%),4 (0.1%),11 (0.2%),22 (0.3%),44
Q79,4 (0.2%),5 (0.3%),5 (0.2%),8 (0.2%),4 (0.1%),18 (0.2%),44
Q05,4 (0.2%),3 (0.2%),11 (0.5%),5 (0.1%),14 (0.2%),7 (0.1%),44
M84,1 (0.0%),1 (0.1%),7 (0.3%),15 (0.4%),10 (0.2%),10 (0.1%),44
S41,2 (0.1%),4 (0.2%),7 (0.3%),9 (0.2%),4 (0.1%),17 (0.2%),43
D43,1 (0.0%),9 (0.6%),3 (0.1%),5 (0.1%),9 (0.1%),16 (0.2%),43
I95,0 (0.0%),4 (0.2%),2 (0.1%),3 (0.1%),11 (0.2%),23 (0.3%),43
T24,2 (0.1%),6 (0.4%),4 (0.2%),4 (0.1%),6 (0.1%),21 (0.2%),43
C81,8 (0.3%),0 (0.0%),0 (0.0%),5 (0.1%),1 (0.0%),29 (0.3%),43
D23,4 (0.2%),2 (0.1%),4 (0.2%),9 (0.2%),8 (0.1%),15 (0.2%),42
I27,9 (0.4%),0 (0.0%),5 (0.2%),11 (0.3%),8 (0.1%),9 (0.1%),42
W23,5 (0.2%),2 (0.1%),5 (0.2%),7 (0.2%),9 (0.1%),14 (0.2%),42
X84 — Intentional self-harm by unspecified means,4 (0.2%),3 (0.2%),1 (0.0%),7 (0.2%),5 (0.1%),22 (0.3%),42
"X70 — Intentional self-harm by hanging, strangulation and suffocation",3 (0.1%),2 (0.1%),4 (0.2%),5 (0.1%),15 (0.2%),13 (0.1%),42
D18,7 (0.3%),5 (0.3%),0 (0.0%),8 (0.2%),7 (0.1%),15 (0.2%),42
Q28,2 (0.1%),8 (0.5%),9 (0.4%),7 (0.2%),8 (0.1%),7 (0.1%),41
R65,4 (0.2%),11 (0.7%),8 (0.3%),3 (0.1%),10 (0.2%),5 (0.1%),41
C22,0 (0.0%),3 (0.2%),4 (0.2%),8 (0.2%),16 (0.2%),10 (0.1%),41
K22,1 (0.0%),1 (0.1%),4 (0.2%),3 (0.1%),19 (0.3%),13 (0.1%),41
I69,4 (0.2%),6 (0.4%),5 (0.2%),7 (0.2%),9 (0.1%),10 (0.1%),41
G51,0 (0.0%),1 (0.1%),2 (0.1%),3 (0.1%),21 (0.3%),13 (0.1%),40
F93 — Emotional disorders with onset specific to childhood,2 (0.1%),4 (0.2%),5 (0.2%),7 (0.2%),9 (0.1%),13 (0.1%),40
K86,1 (0.0%),1 (0.1%),5 (0.2%),3 (0.1%),14 (0.2%),16 (0.2%),40
M08,0 (0.0%),0 (0.0%),8 (0.3%),2 (0.1%),10 (0.2%),20 (0.2%),40
T84,3 (0.1%),3 (0.2%),6 (0.3%),6 (0.2%),8 (0.1%),14 (0.2%),40
K00 — Disorders of tooth development and eruption,4 (0.2%),1 (0.1%),9 (0.4%),8 (0.2%),9 (0.1%),9 (0.1%),40
D47,1 (0.0%),1 (0.1%),0 (0.0%),6 (0.2%),11 (0.2%),21 (0.2%),40
J93,4 (0.2%),2 (0.1%),5 (0.2%),5 (0.1%),10 (0.2%),13 (0.1%),39
Z71 — Persons encountering health services for other counselling and medical advice,5 (0.2%),4 (0.2%),6 (0.3%),6 (0.2%),8 (0.1%),10 (0.1%),39
M25,5 (0.2%),4 (0.2%),3 (0.1%),4 (0.1%),7 (0.1%),16 (0.2%),39
G94,0 (0.0%),2 (0.1%),9 (0.4%),6 (0.2%),7 (0.1%),15 (0.2%),39
L50,1 (0.0%),0 (0.0%),7 (0.3%),4 (0.1%),9 (0.1%),17 (0.2%),38
J14,2 (0.1%),0 (0.0%),0 (0.0%),0 (0.0%),19 (0.3%),17 (0.2%),38
F13,1 (0.0%),1 (0.1%),6 (0.3%),8 (0.2%),12 (0.2%),10 (0.1%),38
T40,1 (0.0%),5 (0.3%),3 (0.1%),3 (0.1%),9 (0.1%),17 (0.2%),38
T79,4 (0.2%),3 (0.2%),2 (0.1%),2 (0.1%),16 (0.2%),10 (0.1%),37
R18,1 (0.0%),2 (0.1%),2 (0.1%),4 (0.1%),10 (0.2%),18 (0.2%),37
T23,4 (0.2%),3 (0.2%),1 (0.0%),6 (0.2%),9 (0.1%),14 (0.2%),37
K31,1 (0.0%),3 (0.2%),5 (0.2%),7 (0.2%),6 (0.1%),15 (0.2%),37
E22 — Hyperfunction of pituitary gland,2 (0.1%),2 (0.1%),3 (0.1%),4 (0.1%),13 (0.2%),13 (0.1%),37
T46,1 (0.0%),3 (0.2%),3 (0.1%),4 (0.1%),13 (0.2%),12 (0.1%),36
C40,10 (0.4%),13 (0.8%),0 (0.0%),5 (0.1%),3 (0.0%),5 (0.1%),36
M85,4 (0.2%),1 (0.1%),2 (0.1%),7 (0.2%),10 (0.2%),12 (0.1%),36
R53,1 (0.0%),3 (0.2%),8 (0.3%),11 (0.3%),8 (0.1%),5 (0.1%),36
R40,1 (0.0%),1 (0.1%),3 (0.1%),9 (0.2%),12 (0.2%),10 (0.1%),36
Z58,3 (0.1%),0 (0.0%),0 (0.0%),4 (0.1%),12 (0.2%),17 (0.2%),36
E02,0 (0.0%),1 (0.1%),1 (0.0%),7 (0.2%),18 (0.3%),9 (0.1%),36
Q22,7 (0.3%),1 (0.1%),5 (0.2%),6 (0.2%),12 (0.2%),5 (0.1%),36
F40,3 (0.1%),0 (0.0%),2 (0.1%),5 (0.1%),10 (0.2%),16 (0.2%),36
Z85,3 (0.1%),1 (0.1%),7 (0.3%),2 (0.1%),11 (0.2%),11 (0.1%),35
M24,5 (0.2%),1 (0.1%),3 (0.1%),5 (0.1%),5 (0.1%),16 (0.2%),35
Q32,8 (0.3%),2 (0.1%),4 (0.2%),4 (0.1%),4 (0.1%),13 (0.1%),35
T38,2 (0.1%),2 (0.1%),8 (0.3%),5 (0.1%),10 (0.2%),8 (0.1%),35
L04,4 (0.2%),3 (0.2%),2 (0.1%),3 (0.1%),6 (0.1%),17 (0.2%),35
V09,0 (0.0%),2 (0.1%),4 (0.2%),5 (0.1%),11 (0.2%),13 (0.1%),35
N83,2 (0.1%),0 (0.0%),3 (0.1%),2 (0.1%),13 (0.2%),15 (0.2%),35
Y57,3 (0.1%),3 (0.2%),2 (0.1%),3 (0.1%),9 (0.1%),15 (0.2%),35
Y65,2 (0.1%),2 (0.1%),2 (0.1%),3 (0.1%),11 (0.2%),15 (0.2%),35
E06,3 (0.1%),1 (0.1%),2 (0.1%),4 (0.1%),10 (0.2%),15 (0.2%),35
C49,3 (0.1%),0 (0.0%),6 (0.3%),0 (0.0%),17 (0.3%),8 (0.1%),34
O80 — Single spontaneous delivery,0 (0.0%),2 (0.1%),2 (0.1%),5 (0.1%),9 (0.1%),16 (0.2%),34
N25,0 (0.0%),4 (0.2%),11 (0.5%),3 (0.1%),9 (0.1%),7 (0.1%),34
V18,3 (0.1%),1 (0.1%),4 (0.2%),7 (0.2%),10 (0.2%),9 (0.1%),34
C96,0 (0.0%),1 (0.1%),1 (0.0%),2 (0.1%),4 (0.1%),26 (0.3%),34
W10 — Fall on and from stairs and steps,0 (0.0%),3 (0.2%),3 (0.1%),8 (0.2%),11 (0.2%),9 (0.1%),34
Q37,3 (0.1%),2 (0.1%),3 (0.1%),2 (0.1%),10 (0.2%),14 (0.2%),34
H53,5 (0.2%),1 (0.1%),5 (0.2%),4 (0.1%),7 (0.1%),12 (0.1%),34
N28,1 (0.0%),8 (0.5%),3 (0.1%),3 (0.1%),9 (0.1%),10 (0.1%),34
I80,6 (0.3%),2 (0.1%),5 (0.2%),5 (0.1%),6 (0.1%),10 (0.1%),34
K64,1 (0.0%),2 (0.1%),3 (0.1%),3 (0.1%),17 (0.3%),8 (0.1%),34
L80,1 (0.0%),9 (0.6%),1 (0.0%),6 (0.2%),7 (0.1%),10 (0.1%),34
J85,3 (0.1%),1 (0.1%),6 (0.3%),2 (0.1%),11 (0.2%),10 (0.1%),33
E28,2 (0.1%),1 (0.1%),0 (0.0%),3 (0.1%),7 (0.1%),20 (0.2%),33
T86,3 (0.1%),6 (0.4%),1 (0.0%),5 (0.1%),6 (0.1%),12 (0.1%),33
