Year,File,Contributors (cotizantes),Dependants (cargas),Unborn / unclassified,Total beneficiaries,Female,Male,Sex not informed,Age not informed,Cells (comuna × sex × age),All-zero cells omitted,Reading rule,Age note,Aggregation rule
2019,isapre_beneficiarios_comuna_2019.xls,"2,020,344","1,410,623",159,"3,431,126","1,556,613","1,874,354",0,0,"18,876","2,401",sheet 'Beneficiarios' (age columns collapsed to 5-year bands) + sheet 'Nonatos o sin Clasificar',2019–2020 single-year columns 'Edad 1'..'Edad 100' collapsed to 5-year bands; 'Edad 1' inferred to hold ages 0–1; 'Edad 100' open-ended,comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0)
2020,isapre_beneficiarios_comuna_2020.xls,"1,971,662","1,367,311",253,"3,339,226","1,528,217","1,810,756",0,0,"18,876","2,307",sheet 'Beneficiarios' (age columns collapsed to 5-year bands) + sheet 'Nonatos o sin Clasificar',2019–2020 single-year columns 'Edad 1'..'Edad 100' collapsed to 5-year bands; 'Edad 1' inferred to hold ages 0–1; 'Edad 100' open-ended,comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0)
2021,isapre_beneficiarios_comuna_2021.xlsx,"1,988,803","1,341,451",0,"3,330,254","1,543,990","1,785,996",268,285,"31,944","13,870",Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets),"5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0)
2022,isapre_beneficiarios_comuna_2022.xlsx,"1,901,844","1,250,041",0,"3,151,885","1,471,066","1,680,646",173,178,"31,944","13,811",Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets),"5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0)
2023,isapre_beneficiarios_comuna_2023.xlsx,"1,699,294","1,088,963",0,"2,788,257","1,308,991","1,479,124",142,147,"31,944","13,910",Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets),"5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0)
2024,isapre_beneficiarios_comuna_2024.xlsx,"1,610,979","1,019,047",0,"2,630,026","1,239,649","1,390,247",130,143,"31,944","13,936",Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets),"5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0)
2025,isapre_beneficiarios_comuna_2025.xlsx,"1,557,693","959,612",0,"2,517,305","1,191,808","1,325,323",174,183,"31,966","13,847",Total Cotizantes + Total Cargas (derived per cell; sex views derived likewise from the sex sheets),"5-year bands as published (0–4 … 95–99, >=100 -> 80+); S/I -> not_informed",comuna file: sum ONLY within year+sex; the TOTAL sex view duplicates MUJER+HOMBRE(+SIN_INFORMACION); beneficiarios = cotizantes + cargas (+ nonatos in 2019–2020); all-zero cells of the complete source grid are omitted (absent = 0)
