Variable,Category,2019,2020,2021,2022,2023,2024,All GRD episodes 2024
TIPOALTA,DIED,16 (0.7%),16 (1.0%),6 (0.3%),16 (0.4%),19 (0.3%),30 (0.3%),"26,682 (2.5%)"
TIPOALTA,PATIENT ABSCONDED,5 (0.2%),4 (0.2%),6 (0.3%),10 (0.3%),8 (0.1%),21 (0.2%),"3,299 (0.3%)"
TIPOALTA,TRANSFER TO A PRIVATE INSTITUTION (PURCHASED SERVICE,1 (0.0%),6 (0.4%),7 (0.3%),3 (0.1%),12 (0.2%),16 (0.2%),"2,865 (0.3%)"
TIPOALTA,TRANSFER TO A PRIVATE INSTITUTION (AT THE PATIENT'S REQUEST),5 (0.2%),2 (0.1%),5 (0.2%),5 (0.1%),7 (0.1%),11 (0.1%),"1,126 (0.1%)"
PREVISION,FONASA INSTITUCIONAL - (MAI) B,816 (35.0%),525 (32.6%),807 (34.1%),"1,365 (35.4%)","2,191 (34.1%)","3,095 (35.4%)","529,210 (48.7%)"
PREVISION,FONASA INSTITUCIONAL - (MAI) A,817 (35.0%),622 (38.7%),830 (35.1%),"1,309 (33.9%)","2,239 (34.9%)","2,916 (33.4%)","225,893 (20.8%)"
PREVISION,FONASA INSTITUCIONAL - (MAI) D,337 (14.4%),231 (14.4%),373 (15.8%),590 (15.3%),992 (15.4%),"1,404 (16.1%)","159,612 (14.7%)"
PREVISION,FONASA INSTITUCIONAL - (MAI) C,262 (11.2%),183 (11.4%),269 (11.4%),443 (11.5%),835 (13.0%),"1,094 (12.5%)","139,120 (12.8%)"
PREVISION,ISAPRE,51 (2.2%),28 (1.7%),49 (2.1%),75 (1.9%),76 (1.2%),94 (1.1%),"5,816 (0.5%)"
PREVISION,DIPRECA,8 (0.3%),3 (0.2%),11 (0.5%),22 (0.6%),20 (0.3%),32 (0.4%),"2,595 (0.2%)"
PREVISION,PARTICULAR,10 (0.4%),9 (0.6%),12 (0.5%),21 (0.5%),18 (0.3%),20 (0.2%),"3,533 (0.3%)"
PREVISION,FONASA LIBRE ELECCIÓN (FMLE_B),12 (0.5%),0 (0.0%),3 (0.1%),6 (0.2%),14 (0.2%),31 (0.4%),"9,728 (0.9%)"
PREVISION,FONASA LIBRE ELECCIÓN (FMLE_D),5 (0.2%),2 (0.1%),3 (0.1%),12 (0.3%),15 (0.2%),16 (0.2%),"5,968 (0.5%)"
PREVISION,CAJA DE PREVISIÓN FFAA (SISA),4 (0.2%),1 (0.1%),4 (0.2%),9 (0.2%),8 (0.1%),10 (0.1%),510 (0.0%)
PREVISION,CAPREDENA,1 (0.0%),2 (0.1%),4 (0.2%),5 (0.1%),11 (0.2%),11 (0.1%),826 (0.1%)
PREVISION,FONASA LIBRE ELECCIÓN (FMLE_C),3 (0.1%),0 (0.0%),2 (0.1%),2 (0.1%),4 (0.1%),8 (0.1%),"2,963 (0.3%)"
PREVISION,NOT IDENTIFIED,8 (0.3%),3 (0.2%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
ESPECIALIDAD_MEDICA,PEDIATRÍA,837 (35.9%),593 (36.9%),863 (36.5%),"1,426 (37.0%)","2,402 (37.4%)","3,055 (35.0%)","68,541 (6.3%)"
ESPECIALIDAD_MEDICA,CIRUGÍA PEDIÁTRICA,305 (13.1%),237 (14.7%),375 (15.8%),617 (16.0%),965 (15.0%),"1,321 (15.1%)","34,861 (3.2%)"
ESPECIALIDAD_MEDICA,PSIQUIATRÍA PEDIÁTRICA Y DE LA ADOLESCENCIA,119 (5.1%),104 (6.5%),154 (6.5%),365 (9.5%),748 (11.6%),"1,162 (13.3%)","7,236 (0.7%)"
ESPECIALIDAD_MEDICA,PSIQUIATRÍA ADULTO,135 (5.8%),115 (7.1%),174 (7.4%),223 (5.8%),401 (6.2%),587 (6.7%),"15,840 (1.5%)"
ESPECIALIDAD_MEDICA,other specialty (outside the 20 most frequent),298 (12.8%),65 (4.0%),111 (4.7%),185 (4.8%),251 (3.9%),329 (3.8%),"150,373 (13.8%)"
ESPECIALIDAD_MEDICA,TRAUMATOLOGÍA Y ORTOPEDIA,108 (4.6%),80 (5.0%),106 (4.5%),180 (4.7%),286 (4.5%),355 (4.1%),"93,848 (8.6%)"
ESPECIALIDAD_MEDICA,MEDICINA INTERNA,62 (2.7%),61 (3.8%),92 (3.9%),123 (3.2%),193 (3.0%),282 (3.2%),"155,574 (14.3%)"
ESPECIALIDAD_MEDICA,OTORRINOLARINGOLOGÍA,73 (3.1%),44 (2.7%),55 (2.3%),109 (2.8%),202 (3.1%),326 (3.7%),"16,568 (1.5%)"
ESPECIALIDAD_MEDICA,NEUROLOGÍA PEDIÁTRICA,188 (8.1%),79 (4.9%),80 (3.4%),103 (2.7%),147 (2.3%),171 (2.0%),"1,208 (0.1%)"
ESPECIALIDAD_MEDICA,CIRUGÍA GENERAL,75 (3.2%),49 (3.0%),63 (2.7%),86 (2.2%),151 (2.4%),243 (2.8%),"162,334 (15.0%)"
ESPECIALIDAD_MEDICA,HEMATO-ONCOLOGÍA PEDIÁTRICA,0 (0.0%),62 (3.9%),66 (2.8%),84 (2.2%),130 (2.0%),138 (1.6%),"4,287 (0.4%)"
ESPECIALIDAD_MEDICA,ODONTOPEDIATRÍA,59 (2.5%),16 (1.0%),47 (2.0%),49 (1.3%),41 (0.6%),86 (1.0%),176 (0.0%)
ESPECIALIDAD_MEDICA,NEUROCIRUGÍA,4 (0.2%),30 (1.9%),52 (2.2%),58 (1.5%),59 (0.9%),81 (0.9%),"18,732 (1.7%)"
ESPECIALIDAD_MEDICA,OBSTETRICIA Y GINECOLOGÍA,7 (0.3%),15 (0.9%),15 (0.6%),27 (0.7%),67 (1.0%),126 (1.4%),"205,359 (18.9%)"
ESPECIALIDAD_MEDICA,OFTALMOLOGÍA,27 (1.2%),5 (0.3%),21 (0.9%),28 (0.7%),65 (1.0%),85 (1.0%),"69,938 (6.4%)"
ESPECIALIDAD_MEDICA,UROLOGÍA,17 (0.7%),11 (0.7%),18 (0.8%),27 (0.7%),55 (0.9%),70 (0.8%),"36,495 (3.4%)"
ESPECIALIDAD_MEDICA,MEDICINA INTENSIVA PEDIÁTRICA,0 (0.0%),16 (1.0%),15 (0.6%),44 (1.1%),44 (0.7%),76 (0.9%),"1,853 (0.2%)"
ESPECIALIDAD_MEDICA,ENFERMEDADES RESPIRATORIAS PEDIÁTRICAS (BRONCOPULMONAR PEDIATRICO),0 (0.0%),3 (0.2%),6 (0.3%),34 (0.9%),83 (1.3%),69 (0.8%),"2,186 (0.2%)"
ESPECIALIDAD_MEDICA,CIRUGÍA Y TRAUMATOLOGÍA BUCO MAXILOFACIAL,0 (0.0%),8 (0.5%),17 (0.7%),28 (0.7%),45 (0.7%),88 (1.0%),"6,306 (0.6%)"
ESPECIALIDAD_MEDICA,NEUROLOGÍA ADULTO,10 (0.4%),14 (0.9%),19 (0.8%),33 (0.9%),45 (0.7%),58 (0.7%),"24,689 (2.3%)"
ESPECIALIDAD_MEDICA,ONCOLOGÍA MÉDICA,10 (0.4%),2 (0.1%),18 (0.8%),30 (0.8%),43 (0.7%),23 (0.3%),"9,409 (0.9%)"
SERVICIO_SALUD,METROPOLITANO SURORIENTE,168 (7.2%),122 (7.6%),258 (10.9%),399 (10.3%),682 (10.6%),801 (9.2%),"90,733 (8.4%)"
SERVICIO_SALUD,METROPOLITANO SUR,90 (3.9%),89 (5.5%),185 (7.8%),298 (7.7%),405 (6.3%),622 (7.1%),"59,892 (5.5%)"
SERVICIO_SALUD,COQUIMBO,107 (4.6%),80 (5.0%),139 (5.9%),236 (6.1%),365 (5.7%),560 (6.4%),"52,366 (4.8%)"
SERVICIO_SALUD,ANTOFAGASTA,110 (4.7%),93 (5.8%),147 (6.2%),213 (5.5%),409 (6.4%),479 (5.5%),"34,468 (3.2%)"
SERVICIO_SALUD,VIÑA DEL MAR QUILLOTA,103 (4.4%),108 (6.7%),108 (4.6%),199 (5.2%),381 (5.9%),551 (6.3%),"51,940 (4.8%)"
SERVICIO_SALUD,METROPOLITANO CENTRAL,184 (7.9%),105 (6.5%),94 (4.0%),176 (4.6%),354 (5.5%),474 (5.4%),"54,335 (5.0%)"
SERVICIO_SALUD,CONCEPCIÓN,116 (5.0%),81 (5.0%),116 (4.9%),165 (4.3%),346 (5.4%),448 (5.1%),"44,824 (4.1%)"
SERVICIO_SALUD,ÑUBLE,121 (5.2%),70 (4.4%),155 (6.5%),222 (5.8%),315 (4.9%),380 (4.4%),"36,160 (3.3%)"
SERVICIO_SALUD,DEL MAULE,86 (3.7%),71 (4.4%),87 (3.7%),190 (4.9%),321 (5.0%),487 (5.6%),"82,844 (7.6%)"
SERVICIO_SALUD,ARAUCANÍA SUR,83 (3.6%),66 (4.1%),100 (4.2%),146 (3.8%),266 (4.1%),448 (5.1%),"58,777 (5.4%)"
SERVICIO_SALUD,METROPOLITANO OCCIDENTE,112 (4.8%),68 (4.2%),91 (3.8%),134 (3.5%),256 (4.0%),330 (3.8%),"73,247 (6.7%)"
SERVICIO_SALUD,TALCAHUANO,72 (3.1%),51 (3.2%),77 (3.3%),155 (4.0%),205 (3.2%),372 (4.3%),"33,070 (3.0%)"
SERVICIO_SALUD,LIBERTADOR B. O HIGGINS,88 (3.8%),60 (3.7%),98 (4.1%),151 (3.9%),228 (3.5%),306 (3.5%),"45,492 (4.2%)"
SERVICIO_SALUD,METROPOLITANO NORTE,83 (3.6%),56 (3.5%),97 (4.1%),167 (4.3%),229 (3.6%),286 (3.3%),"35,811 (3.3%)"
SERVICIO_SALUD,BIOBIO,152 (6.5%),85 (5.3%),75 (3.2%),98 (2.5%),192 (3.0%),218 (2.5%),"30,998 (2.9%)"
SERVICIO_SALUD,VALPARAISO SAN ANTONIO,95 (4.1%),43 (2.7%),42 (1.8%),100 (2.6%),174 (2.7%),306 (3.5%),"35,056 (3.2%)"
SERVICIO_SALUD,METROPOLITANO ORIENTE,66 (2.8%),33 (2.1%),69 (2.9%),106 (2.7%),168 (2.6%),242 (2.8%),"40,694 (3.7%)"
SERVICIO_SALUD,IQUIQUE,68 (2.9%),33 (2.1%),44 (1.9%),94 (2.4%),131 (2.0%),228 (2.6%),"20,963 (1.9%)"
SERVICIO_SALUD,ARICA,42 (1.8%),35 (2.2%),68 (2.9%),103 (2.7%),165 (2.6%),185 (2.1%),"20,234 (1.9%)"
SERVICIO_SALUD,DEL RELONCAVÍ,68 (2.9%),41 (2.5%),51 (2.2%),87 (2.3%),134 (2.1%),182 (2.1%),"30,528 (2.8%)"
SERVICIO_SALUD,OSORNO,46 (2.0%),31 (1.9%),51 (2.2%),69 (1.8%),98 (1.5%),152 (1.7%),"20,314 (1.9%)"
SERVICIO_SALUD,VALDIVIA,61 (2.6%),52 (3.2%),39 (1.6%),63 (1.6%),89 (1.4%),105 (1.2%),"24,390 (2.2%)"
SERVICIO_SALUD,MAGALLANES,62 (2.7%),39 (2.4%),48 (2.0%),60 (1.6%),82 (1.3%),86 (1.0%),"13,621 (1.3%)"
SERVICIO_SALUD,ARAUCANÍA NORTE,25 (1.1%),30 (1.9%),26 (1.1%),65 (1.7%),104 (1.6%),122 (1.4%),"21,266 (2.0%)"
SERVICIO_SALUD,ATACAMA,38 (1.6%),20 (1.2%),25 (1.1%),56 (1.5%),105 (1.6%),107 (1.2%),"21,284 (2.0%)"
SERVICIO_SALUD,ACONCAGUA,29 (1.2%),14 (0.9%),27 (1.1%),32 (0.8%),63 (1.0%),68 (0.8%),"22,867 (2.1%)"
SERVICIO_SALUD,ARAUCO,26 (1.1%),13 (0.8%),19 (0.8%),30 (0.8%),61 (0.9%),48 (0.5%),"9,649 (0.9%)"
SERVICIO_SALUD,AYSEN,15 (0.6%),9 (0.6%),16 (0.7%),30 (0.8%),45 (0.7%),71 (0.8%),"10,307 (0.9%)"
