Variable,Category,2019,2020,2021,2022,2023,2024,All GRD episodes 2024
NACIONALIDAD_grouped,Other country,36 (1.5%),18 (1.1%),46 (1.9%),65 (1.7%),178 (2.8%),190 (2.2%),"66,157 (6.1%)"
NACIONALIDAD_grouped,Unknown,31 (1.3%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%)
ETNIA_grouped,None/other,"2,311 (99.0%)","1,580 (98.2%)","2,333 (98.6%)","3,810 (98.7%)","6,310 (98.2%)","8,529 (97.7%)","1,058,981 (97.5%)"
ETNIA_grouped,Declared indigenous people,23 (1.0%),29 (1.8%),34 (1.4%),49 (1.3%),113 (1.8%),202 (2.3%),"26,832 (2.5%)"
USOSPABELLON_grouped,not reported,"1,512 (64.8%)","1,609 (100.0%)","1,532 (64.7%)","2,514 (65.1%)","4,284 (66.7%)","5,767 (66.1%)","430,231 (39.6%)"
USOSPABELLON_grouped,1,655 (28.1%),0 (0.0%),717 (30.3%),"1,176 (30.5%)","1,732 (27.0%)","2,461 (28.2%)","503,243 (46.3%)"
USOSPABELLON_grouped,2,124 (5.3%),0 (0.0%),48 (2.0%),73 (1.9%),218 (3.4%),256 (2.9%),"91,381 (8.4%)"
USOSPABELLON_grouped,3+,43 (1.8%),0 (0.0%),70 (3.0%),96 (2.5%),189 (2.9%),247 (2.8%),"60,953 (5.6%)"
HOSPPROCEDENCIA_reported,no referring hospital,"1,996 (85.5%)","1,321 (82.1%)","1,965 (83.0%)","3,262 (84.5%)","5,469 (85.1%)","7,891 (90.4%)","993,216 (91.5%)"
HOSPPROCEDENCIA_reported,with a referring hospital,338 (14.5%),288 (17.9%),402 (17.0%),597 (15.5%),954 (14.9%),840 (9.6%),"92,597 (8.5%)"
sex,MALE,"1,786 (76.5%)","1,206 (75.0%)","1,806 (76.3%)","2,886 (74.8%)","4,497 (70.0%)","5,849 (67.0%)","453,074 (41.7%)"
sex,FEMALE,547 (23.4%),403 (25.0%),560 (23.7%),972 (25.2%),"1,924 (30.0%)","2,878 (33.0%)","632,623 (58.3%)"
sex,unknown,1 (0.0%),0 (0.0%),1 (0.0%),1 (0.0%),2 (0.0%),4 (0.0%),116 (0.0%)
age_band,5–9,706 (30.2%),429 (26.7%),691 (29.2%),"1,112 (28.8%)","1,898 (29.6%)","2,749 (31.5%)","40,832 (3.8%)"
age_band,10–14,529 (22.7%),423 (26.3%),635 (26.8%),930 (24.1%),"1,506 (23.4%)","2,299 (26.3%)","37,645 (3.5%)"
age_band,0–4,593 (25.4%),358 (22.2%),478 (20.2%),951 (24.6%),"1,432 (22.3%)","1,418 (16.2%)","81,933 (7.5%)"
age_band,15–19,246 (10.5%),216 (13.4%),276 (11.7%),472 (12.2%),929 (14.5%),"1,258 (14.4%)","35,715 (3.3%)"
age_band,20–29,164 (7.0%),106 (6.6%),177 (7.5%),234 (6.1%),418 (6.5%),652 (7.5%),"126,127 (11.6%)"
age_band,30–44,71 (3.0%),62 (3.9%),77 (3.3%),117 (3.0%),180 (2.8%),260 (3.0%),"200,535 (18.5%)"
age_band,45+,25 (1.1%),15 (0.9%),33 (1.4%),43 (1.1%),60 (0.9%),92 (1.1%),"562,971 (51.8%)"
age_band,unknown,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (0.0%),55 (0.0%)
age_group_who,5–9,706 (30.2%),429 (26.7%),691 (29.2%),"1,112 (28.8%)","1,898 (29.6%)","2,749 (31.5%)","40,832 (3.8%)"
age_group_who,10–14,529 (22.7%),423 (26.3%),635 (26.8%),930 (24.1%),"1,506 (23.4%)","2,299 (26.3%)","37,645 (3.5%)"
age_group_who,0–4,593 (25.4%),358 (22.2%),478 (20.2%),951 (24.6%),"1,432 (22.3%)","1,418 (16.2%)","81,933 (7.5%)"
age_group_who,15–19,246 (10.5%),216 (13.4%),276 (11.7%),472 (12.2%),929 (14.5%),"1,258 (14.4%)","35,715 (3.3%)"
age_group_who,20–24,101 (4.3%),59 (3.7%),103 (4.4%),139 (3.6%),273 (4.3%),420 (4.8%),"53,930 (5.0%)"
age_group_who,25–29,63 (2.7%),47 (2.9%),74 (3.1%),95 (2.5%),145 (2.3%),232 (2.7%),"72,197 (6.6%)"
age_group_who,30–34,42 (1.8%),32 (2.0%),42 (1.8%),58 (1.5%),109 (1.7%),128 (1.5%),"78,707 (7.2%)"
age_group_who,35–39,21 (0.9%),19 (1.2%),29 (1.2%),44 (1.1%),45 (0.7%),85 (1.0%),"68,537 (6.3%)"
age_group_who,40–44,8 (0.3%),11 (0.7%),6 (0.3%),15 (0.4%),26 (0.4%),47 (0.5%),"53,291 (4.9%)"
age_group_who,45–49,5 (0.2%),4 (0.2%),7 (0.3%),18 (0.5%),22 (0.3%),26 (0.3%),"49,080 (4.5%)"
age_group_who,50–54,6 (0.3%),1 (0.1%),8 (0.3%),4 (0.1%),12 (0.2%),20 (0.2%),"53,422 (4.9%)"
age_group_who,55–59,8 (0.3%),3 (0.2%),4 (0.2%),5 (0.1%),5 (0.1%),13 (0.1%),"65,245 (6.0%)"
age_group_who,60–64,2 (0.1%),2 (0.1%),3 (0.1%),4 (0.1%),11 (0.2%),11 (0.1%),"77,631 (7.1%)"
age_group_who,65–69,2 (0.1%),1 (0.1%),3 (0.1%),4 (0.1%),2 (0.0%),8 (0.1%),"80,864 (7.4%)"
age_group_who,70–74,1 (0.0%),2 (0.1%),3 (0.1%),4 (0.1%),3 (0.0%),4 (0.0%),"76,321 (7.0%)"
age_group_who,80+,1 (0.0%),1 (0.1%),3 (0.1%),0 (0.0%),3 (0.0%),7 (0.1%),"91,591 (8.4%)"
age_group_who,75–79,0 (0.0%),1 (0.1%),2 (0.1%),4 (0.1%),2 (0.0%),3 (0.0%),"68,817 (6.3%)"
age_group_who,unknown,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (0.0%),55 (0.0%)
los_bin,0,624 (26.7%),244 (15.2%),453 (19.1%),748 (19.4%),"1,135 (17.7%)","1,751 (20.1%)","243,139 (22.4%)"
los_bin,1,383 (16.4%),272 (16.9%),394 (16.6%),689 (17.9%),"1,114 (17.3%)","1,458 (16.7%)","150,779 (13.9%)"
los_bin,3–4,357 (15.3%),262 (16.3%),352 (14.9%),607 (15.7%),"1,095 (17.0%)","1,452 (16.6%)","187,663 (17.3%)"
los_bin,5–7,252 (10.8%),222 (13.8%),293 (12.4%),476 (12.3%),882 (13.7%),"1,082 (12.4%)","132,922 (12.2%)"
los_bin,2,235 (10.1%),171 (10.6%),296 (12.5%),426 (11.0%),737 (11.5%),"1,035 (11.9%)","159,079 (14.7%)"
los_bin,8–14,213 (9.1%),185 (11.5%),253 (10.7%),455 (11.8%),710 (11.1%),947 (10.8%),"113,827 (10.5%)"
los_bin,15–30,150 (6.4%),141 (8.8%),176 (7.4%),306 (7.9%),493 (7.7%),687 (7.9%),"67,641 (6.2%)"
los_bin,31–90,97 (4.2%),89 (5.5%),125 (5.3%),130 (3.4%),227 (3.5%),278 (3.2%),"27,647 (2.5%)"
los_bin,91+,23 (1.0%),23 (1.4%),25 (1.1%),22 (0.6%),30 (0.5%),38 (0.4%),"3,064 (0.3%)"
los_bin,not reported,0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),0 (0.0%),3 (0.0%),52 (0.0%)
