Block,Definition era,Region of the establishment,2019,2020,2021,2022,2023,2024,2025
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Maule,351 (51),298 (46),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Ñuble,377 (38),504 (36),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Biobío,827 (111),793 (106),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,La Araucanía,342 (61),290 (51),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Los Ríos,138 (16),125 (13),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Los Lagos,195 (48),259 (46),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Aysén,31 (11),40 (8),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Magallanes,42 (7),30 (7),not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, broad PDD (2019–2020 era)",2019–2020,Chile (national total),"5,520 (727)","5,185 (695)",not reported,not reported,not reported,not reported,not reported
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Arica y Parinacota,not reported,not reported,169 (12),207 (14),292 (13),233 (11),334 (13)
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Tarapacá,not reported,not reported,76 (15),124 (15),220 (15),310 (18),508 (20)
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Antofagasta,not reported,not reported,325 (18),406 (18),526 (20),605 (24),723 (24)
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Atacama,not reported,not reported,108 (12),258 (14),120 (20),227 (26),310 (25)
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Coquimbo,not reported,not reported,461 (62),767 (65),"1,066 (77)","1,243 (83)","1,630 (87)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Valparaíso,not reported,not reported,655 (87),993 (100),"1,669 (116)","2,328 (129)","2,905 (133)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Metropolitana,not reported,not reported,"1,323 (158)","2,448 (183)","3,052 (206)","4,885 (238)","6,931 (244)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,O'Higgins,not reported,not reported,307 (57),392 (65),720 (78),903 (85),"1,190 (100)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Maule,not reported,not reported,336 (65),517 (85),930 (105),"1,202 (108)","1,696 (128)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Ñuble,not reported,not reported,572 (41),987 (52),"1,610 (58)","1,904 (57)","2,178 (60)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Biobío,not reported,not reported,"1,015 (121)","1,626 (137)","2,087 (144)","3,441 (170)","3,940 (178)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,La Araucanía,not reported,not reported,411 (69),584 (76),897 (87),"1,327 (111)","1,736 (120)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Los Ríos,not reported,not reported,144 (20),301 (27),461 (37),598 (45),"1,150 (52)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Los Lagos,not reported,not reported,245 (58),551 (78),912 (100),"1,433 (123)","1,739 (128)"
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Aysén,not reported,not reported,45 (11),84 (11),239 (18),126 (20),189 (21)
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Magallanes,not reported,not reported,45 (9),53 (8),94 (9),146 (10),160 (11)
"P6 · Primary care, variant F84 family (2021–2025 era)",2021–2025,Chile (national total),not reported,not reported,"6,237 (815)","10,298 (948)","14,895 (1,103)","20,911 (1,258)","27,319 (1,344)"
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Arica y Parinacota,102 (2),100 (2),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Tarapacá,155 (3),160 (3),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Antofagasta,278 (4),318 (4),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Atacama,not reported,19 (2),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Coquimbo,151 (5),157 (5),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Valparaíso,269 (7),168 (8),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Metropolitana,"2,858 (40)","3,141 (42)",not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,O'Higgins,145 (7),125 (7),not reported,not reported,not reported,not reported,not reported
"P6 · Specialty, broad PDD (2019–2020 era)",2019–2020,Maule,389 (7),472 (7),not reported,not reported,not reported,not reported,not reported
