Age (completed years),Sex,2019,2020,2021,2022,2023,2024,Total 2019–2024
69,Males,0,0,2,1,1,0,4
69,Females,0,0,0,0,0,0,0
70,Males,0,0,0,0,1,0,1
70,Females,0,0,0,0,0,0,0
71,Males,0,1,0,2,1,0,4
71,Females,0,0,0,0,0,1,1
72,Males,0,0,0,0,0,1,1
72,Females,0,1,0,0,0,0,1
73,Males,0,0,0,0,1,0,1
73,Females,0,0,0,1,0,1,2
74,Males,1,0,2,0,0,0,3
74,Females,0,0,1,1,0,1,3
75,Males,0,0,0,0,0,1,1
75,Females,0,0,0,0,0,0,0
76,Males,0,0,0,0,0,0,0
76,Females,0,1,0,2,1,0,4
77,Males,0,0,1,0,1,0,2
77,Females,0,0,0,0,0,0,0
78,Males,0,0,0,2,0,1,3
78,Females,0,0,0,0,0,0,0
79,Males,0,0,0,0,0,0,0
79,Females,0,0,1,0,0,1,2
80,Males,0,0,0,0,1,0,1
80,Females,0,0,0,0,1,1,2
81,Males,0,0,1,0,0,0,1
81,Females,0,0,0,0,0,1,1
82,Males,0,0,1,0,0,0,1
82,Females,0,0,0,0,0,1,1
83,Males,0,0,0,0,0,0,0
83,Females,0,0,0,0,1,0,1
84,Males,0,0,0,0,0,0,0
84,Females,0,0,0,0,0,2,2
87,Males,1,0,1,0,0,0,2
87,Females,0,0,0,0,0,0,0
88,Males,0,0,0,0,0,0,0
88,Females,0,0,0,0,0,1,1
89,Males,0,0,0,0,0,0,0
89,Females,0,0,0,0,0,1,1
91,Males,0,1,0,0,0,0,1
91,Females,0,0,0,0,0,0,0
Age not reported,Males,0,0,0,0,0,3,3
