Year,Level,Sex,Students; ASD cases,Weighted % (95% CI),Unweighted %,Weighted total; weighted population,Weight and design,Estimable
2019,Grade 1,Both sexes,"217,506; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2019 questionnaire has no ASD category (categories: diag_asma, diag_broncopulmonar, diag_diabet_tipo1, diag_diabet_tipo2, diag_epilepsia, diag_obesidad, diag_enfceliaca, diag_dislipidemia, diag_alergia_alimen, diag_otro). The prolonged-diagnosis filter is reported as context only."
2019,Grade 5,Both sexes,"208,846; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2019 questionnaire has no ASD category (categories: diag_asma, diag_broncopulmonar, diag_diabet_1, diag_diabet_2, diag_epilepsia, diag_obesidad, diag_enfceliaca, diag_dislipidemia, diag_alergia_alimen, diag_otro). The prolonged-diagnosis filter is reported as context only."
2019,Year 9,Both sexes,"206,665; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2019 questionnaire has no ASD category (categories: diag_asma, diag_broncopulmonar, diag_diabet_1, diag_diabet_2, diag_epilepsia, diag_obesidad, diag_enfceliaca, diag_dislipidemia, diag_alergia_alimen, diag_otro). The prolonged-diagnosis filter is reported as context only."
2019,Pre-school,Both sexes,"364,967; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2019 questionnaire has no ASD category (categories: diagnostico_asma, diagnostico_broncopu, diagnostico_diabet_1, diagnostico_diabet_2, diagnostico_epilepsi, diagnostico_obesidad, diagnostico_enfcelia, diagnostico_dislipid, diagnostico_alergia, diagnostico_otro). The prolonged-diagnosis filter is reported as context only."
2020,Grade 1,Both sexes,"179,201; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2020 questionnaire has no ASD category (categories: diag_asma, diag_broncopulmonar, diag_diabet_tipo1, diag_diabet_tipo2, diag_epilepsia, diag_obesidad, diag_enfceliaca, diag_dislipidemia, diag_alergia_alimen, diag_otro). The prolonged-diagnosis filter is reported as context only."
2020,Grade 5,Both sexes,"192,349; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2020 questionnaire has no ASD category (categories: diag_asma, diag_broncopulmonar, diag_diabet_1, diag_diabet_2, diag_epilepsia, diag_obesidad, diag_enfceliaca, diag_dislipidemia, diag_alergia_alimen, diag_otro). The prolonged-diagnosis filter is reported as context only."
2020,Year 9,Both sexes,"185,734; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2020 questionnaire has no ASD category (categories: diag_asma, diag_broncopulmonar, diag_diabet_1, diag_diabet_2, diag_epilepsia, diag_obesidad, diag_enfceliaca, diag_dislipidemia, diag_alergia_alimen, diag_otro). The prolonged-diagnosis filter is reported as context only."
2020,Pre-school,Both sexes,"337,917; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2020 questionnaire has no ASD category (categories: diagnostico_asma, diagnostico_broncopu, diagnostico_diabet_1, diagnostico_diabet_2, diagnostico_epilepsi, diagnostico_obesidad, diagnostico_enfcelia, diagnostico_dislipid, diagnostico_alergia, diagnostico_otro). The prolonged-diagnosis filter is reported as context only."
2021,Grade 1,Both sexes,"190,518; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2021 questionnaire has no ASD category (categories: DIAG_ASMA, DIAG_BRONCOPULMONAR, DIAG_DIABET_TIPO1, DIAG_DIABET_TIPO2, DIAG_EPILEPSIA, DIAG_OBESIDAD, DIAG_ENFCELIACA, DIAG_DISLIPIDEMIA, DIAG_ALERGIA_ALIMEN, DIAG_OTRO). The prolonged-diagnosis filter is reported as context only."
2021,Grade 5,Both sexes,"196,691; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2021 questionnaire has no ASD category (categories: DIAG_ASMA, DIAG_BRONCOPULMONAR, DIAG_DIABET_1, DIAG_DIABET_2, DIAG_EPILEPSIA, DIAG_OBESIDAD, DIAG_ENFCELIACA, DIAG_DISLIPIDEMIA, DIAG_ALERGIA_ALIMEN, DIAG_OTRO). The prolonged-diagnosis filter is reported as context only."
2021,Year 9,Both sexes,"195,505; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2021 questionnaire has no ASD category (categories: DIAG_ASMA, DIAG_BRONCOPULMONAR, DIAG_DIABET_1, DIAG_DIABET_2, DIAG_EPILEPSIA, DIAG_OBESIDAD, DIAG_ENFCELIACA, DIAG_DISLIPIDEMIA, DIAG_ALERGIA_ALIMEN, DIAG_OTRO). The prolonged-diagnosis filter is reported as context only."
2021,Pre-school,Both sexes,"320,233; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2021 questionnaire has no ASD category (categories: DIAGNOSTICO_ASMA, DIAGNOSTICO_BRONCOPU, DIAGNOSTICO_DIABET_1, DIAGNOSTICO_DIABET_2, DIAGNOSTICO_EPILEPSI, DIAGNOSTICO_OBESIDAD, DIAGNOSTICO_ENFCELIA, DIAGNOSTICO_DISLIPID, DIAGNOSTICO_ALERGIA, DIAGNOSTICO_OTRO). The prolonged-diagnosis filter is reported as context only."
2022,Grade 1,Both sexes,"191,649; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2022 questionnaire has no ASD category (categories: DIAG_ASMA, DIAG_BRONCOPULMONAR, DIAG_DIABET_TIPO1, DIAG_DIABET_TIPO2, DIAG_EPILEPSIA, DIAG_OBESIDAD, DIAG_ENFCELIACA, DIAG_DISLIPIDEMIA, DIAG_ALERGIA_ALIMEN, DIAG_OTRO). The prolonged-diagnosis filter is reported as context only."
2022,Grade 5,Both sexes,"195,457; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2022 questionnaire has no ASD category (categories: DIAG_ASMA, DIAG_BRONCOPULMONAR, DIAG_DIABET_1, DIAG_DIABET_2, DIAG_EPILEPSIA, DIAG_OBESIDAD, DIAG_ENFCELIACA, DIAG_DISLIPIDEMIA, DIAG_ALERGIA_ALIMEN, DIAG_OTRO). The prolonged-diagnosis filter is reported as context only."
2022,Year 9,Both sexes,"199,027; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2022 questionnaire has no ASD category (categories: DIAG_ASMA, DIAG_BRONCOPULMONAR, DIAG_DIABET_1, DIAG_DIABET_2, DIAG_EPILEPSIA, DIAG_OBESIDAD, DIAG_ENFCELIACA, DIAG_DISLIPIDEMIA, DIAG_ALERGIA_ALIMEN, DIAG_OTRO). The prolonged-diagnosis filter is reported as context only."
2022,Pre-school,Both sexes,"313,688; n/e",n/e,n/e,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,"No — Not estimable: the 2022 questionnaire has no ASD category (categories: DIAGNOSTICO_ASMA, DIAGNOSTICO_BRONCOPU, DIAGNOSTICO_DIABET_1, DIAGNOSTICO_DIABET_2, DIAGNOSTICO_EPILEPSI, DIAGNOSTICO_OBESIDAD, DIAGNOSTICO_ENFCELIA, DIAGNOSTICO_DISLIPID, DIAGNOSTICO_ALERGIA, DIAGNOSTICO_OTRO). The prolonged-diagnosis filter is reported as context only."
2023,Grade 1,Both sexes,"159,887; 6,660",n/e,4.17,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025.
2023,Grade 1,Females,"77,245; 1,424",n/e,1.84,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: females.
2023,Grade 1,Males,"82,642; 5,236",n/e,6.34,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: males.
2023,Grade 5,Both sexes,"166,218; 4,822",n/e,2.90,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025.
2023,Grade 5,Females,"80,225; 1,094",n/e,1.36,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: females.
2023,Grade 5,Males,"85,993; 3,728",n/e,4.34,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: males.
2023,Year 9,Both sexes,"178,466; 4,618",n/e,2.59,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025.
2023,Year 9,Females,"85,767; 1,286",n/e,1.50,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: females.
2023,Year 9,Males,"92,699; 3,332",n/e,3.59,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: males.
2023,Pre-school,Both sexes,"261,098; 11,388",n/e,4.36,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025.
2023,Pre-school,Females,"127,294; 2,560",n/e,2.01,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: females.
2023,Pre-school,Males,"133,804; 8,828",n/e,6.60,n/e; n/e,absent; No published weight: unweighted proportions with Wilson CI; these are not national estimates,No — ASD item available but with no published expansion factor for 2023: counts and unweighted proportion only (Wilson CI); not a national estimate and not directly comparable with 2024–2025. Sex: males.
2024,Grade 1,Both sexes,"154,166; 10,245",6.60 (6.48–6.73),6.65,"13,371; 202,487",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2024,Grade 1,Females,"74,075; 2,289",3.07 (2.95–3.20),3.09,"2,996; 97,434",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2024,Grade 1,Males,"80,090; 7,956",9.88 (9.67–10.09),9.93,"10,375; 105,053",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
2024,Grade 5,Both sexes,"165,533; 7,468",4.49 (4.39–4.59),4.51,"10,044; 223,664",EXP_REG; SE by Taylor linearisation with students as independent units (no strata or PSU in the dictionary; the school cluster is ignored); logit-scale 95% CI; weight EXP_REG,Yes
