Source,File,Manifest,Manifest SHA-256 (12),Observed SHA-256 (12),SHA match,Manifest bytes,Observed bytes,Bytes match,Manifest date,Manifest note
rem_serie_p,SerieP_2019.csv,REM/SerieP/manifest_extract_rem_series_p.csv,e3b8c85b1ac3,e3b8c85b1ac3,Yes,"90,437,288","90,437,288",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2019.zip; member=SerieP_2019.txt
rem_serie_p_dictionary,SP_19_V1.1-CODIGOS.xlsm,REM/SerieP/manifest_extract_rem_series_p.csv,536c4b1fd7dd,536c4b1fd7dd,Yes,"369,470","369,470",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2019.zip; member=DICCIONARIOS/SP_19_V1.1-CODIGOS.xlsm
rem_serie_p,SerieP_2020.csv,REM/SerieP/manifest_extract_rem_series_p.csv,b5402460d4f3,b5402460d4f3,Yes,"46,243,230","46,243,230",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2020.zip; member=SerieP_2020.txt
rem_serie_p_dictionary,SP_20_V1.0 CODIGOS.xlsm,REM/SerieP/manifest_extract_rem_series_p.csv,1901939e368a,1901939e368a,Yes,"353,950","353,950",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2020.zip; member=DICCIONARIOS/SP_20_V1.0 CODIGOS.xlsm
rem_serie_p,SerieP_2021.csv,REM/SerieP/manifest_extract_rem_series_p.csv,278440a173b9,278440a173b9,Yes,"91,834,115","91,834,115",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2021.zip; member=2021/SerieP_2021.txt
rem_serie_p_dictionary,SP_21_V1.1 CODIGOS.xlsm,REM/SerieP/manifest_extract_rem_series_p.csv,b69b221545de,b69b221545de,Yes,"411,439","411,439",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2021.zip; member=2021/DICCIONARIOS/SP_21_V1.1 CODIGOS.xlsm
rem_serie_p,SerieP_2022.csv,REM/SerieP/manifest_extract_rem_series_p.csv,ce18c08fd4f7,ce18c08fd4f7,Yes,"103,339,188","103,339,188",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2022.zip; member=SerieP.txt
rem_serie_p_dictionary,SP_22_V1.0 CODIGOS.xlsm,REM/SerieP/manifest_extract_rem_series_p.csv,d0aa8338e447,d0aa8338e447,Yes,"366,186","366,186",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2022.zip; member=DICCIONARIOS/SP_22_V1.0 CODIGOS.xlsm
rem_serie_p,SerieP_2023.csv,REM/SerieP/manifest_extract_rem_series_p.csv,f646fb4a8062,f646fb4a8062,Yes,"118,069,045","118,069,045",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2023.zip; member=Datos/SerieP2023.txt
rem_serie_p_dictionary,DICCIONARIO CODIGOS SP_23_V1.2.xlsm,REM/SerieP/manifest_extract_rem_series_p.csv,8160b0919289,8160b0919289,Yes,"479,137","479,137",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2023.zip; member=Diccionarios/DICCIONARIO CODIGOS SP_23_V1.2.xlsm
rem_serie_p,SerieP_2024.csv,REM/SerieP/manifest_extract_rem_series_p.csv,9664d8c9e6a8,9664d8c9e6a8,Yes,"126,880,490","126,880,490",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2024.zip; member=Datos/SerieP2024.csv
rem_serie_p_dictionary,DICCIONARIO CODIGOS SP_24_V1.1.xlsm,REM/SerieP/manifest_extract_rem_series_p.csv,51da22dc9f3f,51da22dc9f3f,Yes,"462,928","462,928",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2024.zip; member=Diccionarios/DICCIONARIO CODIGOS SP_24_V1.1.xlsm
rem_serie_p,SerieP_2025.csv,REM/SerieP/manifest_extract_rem_series_p.csv,cc694848c118,cc694848c118,Yes,"133,008,705","133,008,705",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2025.zip; member=Datos/SerieP2025.csv
rem_serie_p_dictionary,DICCIONARIO CODIGOS SP_25_V1.2.xlsm,REM/SerieP/manifest_extract_rem_series_p.csv,a0c41193a3fa,a0c41193a3fa,Yes,"439,113","439,113",Yes,2026-09-04,status=verificado_existente; source_zip=SERIE_REM_2025.zip; member=Diccionarios/DICCIONARIO CODIGOS SP_25_V1.2.xlsm
deis_egresos,2019.csv,DEIS/Egresos/metadata/canonical_manifest.csv,2b8f91139bf9,2b8f91139bf9,Yes,"308,548,956","308,548,956",Yes,no date,no date in manifest
deis_egresos,2020.csv,DEIS/Egresos/metadata/canonical_manifest.csv,7a26483c6853,7a26483c6853,Yes,"245,975,785","245,975,785",Yes,no date,no date in manifest
deis_egresos,2021.csv,DEIS/Egresos/metadata/canonical_manifest.csv,ca763dd6a51c,ca763dd6a51c,Yes,"272,252,436","272,252,436",Yes,no date,no date in manifest
deis_egresos,2022.csv,DEIS/Egresos/metadata/canonical_manifest.csv,92511395bcf5,92511395bcf5,Yes,"357,942,502","357,942,502",Yes,no date,no date in manifest
deis_egresos,2023.csv,DEIS/Egresos/metadata/canonical_manifest.csv,4b5d1d573254,4b5d1d573254,Yes,"278,312,188","278,312,188",Yes,no date,no date in manifest
deis_egresos,2024.csv,DEIS/Egresos/metadata/canonical_manifest.csv,38a6b99d04e9,38a6b99d04e9,Yes,"245,748,131","245,748,131",Yes,no date,no date in manifest
deis_egresos_dictionary,Diccionario BD egresos hospitalario.xlsx,not listed in any manifest,—,007209250d4a,not listed in any manifest,—,"684,270",not listed in any manifest,—,not listed in any manifest
fonasa_aggregates,Resultados_201812.rar,Autism/metadata/download_manifest.csv,ab62a8a339bd,ab62a8a339bd,Yes,"3,494,968","3,494,968",Yes,2026-09-04,status=downloaded; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20201812.rar
fonasa_aggregates,Resultados_201912.rar,Autism/metadata/download_manifest.csv,8b1b8d90f22c,8b1b8d90f22c,Yes,"3,792,730","3,792,730",Yes,2026-09-04,status=adopted; source_url=https://www.fonasa.cl/assets/datos-abiertos/Beneficiarios/Resultados%20Beneficiarios%20201912.rar
fonasa_aggregates,Resultados_201912.rar,FONASA/metadata/source_manifest.csv,8b1b8d90f22c,8b1b8d90f22c,Yes,"3,792,730","3,792,730",Yes,no date,no date in manifest (consolidated 2026-09-02 per data-root README)
