File,Rows,Number of columns,Unit,Declared denominator,Geography,Producing script,Columns
grd_fixed_panel_hospitals.csv,72,11,n/e,n/e,n/e,01_grd_core.py|08a_figures_grd.py|08d_figure_dataflow.py|09a_tables_main.py|09b_tables_supplementary.py|11_grd_episode_detail.py|13_extra_figures_hospital.py,COD_HOSPITAL|hospital_name|hospital_name_source|in_fixed_panel|present_2019|present_2020|present_2021|present_2022|present_2023|present_2024|n_years_present
grd_grd_weight.csv,"1,800",19,IR-29301 relative weight / episodes per GRD group,n_episodes_cell,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|row_type|ir_grd_code|ir_grd_rank|n|n_episodes_cell|n_without_weight|mean|sd|median|q25|q75|pct_of_cell|unit|denominator|script
grd_hospital_year.csv,"1,200",17,n/e,n/e,n/e,01_grd_core.py|06_models.py|08a_figures_grd.py|09b_tables_supplementary.py|13_extra_figures_hospital.py|15_extra_figures_context.py|16_extra_tables.py,year|variant|COD_HOSPITAL|hospital_name|hospital_name_source|n_episodes_total|n_episodes_hospitalisation|n_episodes_cma|n_episodes_other|coding_depth_mean|n_f84_any|n_f84_principal|n_f84_any_hospitalisation|n_f84_any_cma|coding_depth_mean_f84|persons_within_year_f84_any|in_fixed_panel
grd_identifier_audit.csv,18,17,n/e,n/e,n/e,01_grd_core.py|08d_figure_dataflow.py|09b_tables_supplementary.py,year|variant|identifier_column|n_f84|n_with_valid_id|n_without_valid_id|n_unique_ids|id_length_mode|id_length_min|id_length_max|invalid_id_values|n_f84_ids_shared_with_previous_year|previous_year|n_f84_with_comuna|n_records_total|n_records_valid_id_all_episodes|n_f84_exact_duplicates_on_read_columns
grd_length_of_stay.csv,366,20,days of stay per episode,n_valid_dates,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|activity|n_episodes_cell|n_invalid_dates|n_valid_dates|mean_days|sd_days|median_days|q25_days|q75_days|p90_days|max_days|total_days|n_los_zero|unit|denominator|script
grd_los_age.csv,"4,516",21,days of stay per episode,n_valid_dates,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|activity|age_group|n_episodes_cell|n_invalid_dates|n_valid_dates|mean_days|sd_days|median_days|q25_days|q75_days|p90_days|max_days|total_days|n_los_zero|unit|denominator|script
grd_monthly.csv,"1,404",18,GRD episodes (month of admission),n_episodes_total,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|month|n_episodes_f84|n_episodes_total|rate_per_100k_episodes|rate_lo|rate_hi|seasonal_index_f84|seasonal_index_total|seasonal_index_rate|month_label|activity|unit|denominator|script
grd_multiplicity.csv,180,15,GRD identifiers and episodes,n_persons_total,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,era|variant|position|panel|episodes_per_identifier|n_persons|n_episodes|n_persons_total|n_episodes_total|pct_persons|pct_episodes|n_episodes_without_valid_identifier|unit|denominator|script
grd_readmission.csv,324,20,GRD index discharges and readmissions,n_eligible,n/e,lancet_americas/pipeline/11_grd_episode_detail.py,era|year|variant|position|panel|horizon_days|n_discharges|n_eligible|n_readmitted_any_cause|n_readmitted_f84|n_with_overlapping_next_admission|pct_any_cause|pct_any_cause_lo|pct_any_cause_hi|pct_f84|pct_f84_lo|pct_f84_hi|unit|denominator|script
grd_residence_comuna_year.csv,"2,074",13,GRD episodes (rows) by normalised COMUNA of residence; F84 any position / principal per variant,n/e,comuna of residence as recorded in GRD (matched to INE names via comuna_crosswalk; unmatched kept as unknown),lancet_americas/pipeline/08c_figures_triangulation.py,year|comuna_norm|n_episodes|n_f84_any_con_rett|n_f84_principal_con_rett|n_f84_any_sin_rett|n_f84_principal_sin_rett|cut_comuna|cut_region|match_method|unit|geography|script
grd_subcode_year.csv,137,6,n/e,n/e,n/e,01_grd_core.py|08a_figures_grd.py|09a_tables_main.py|09b_tables_supplementary.py|13_extra_figures_hospital.py,year|subcode|position|n_episodes|in_config_f84_subcodes|variants
grd_territory.csv,"27,038",17,GRD episodes and persons within the year,INE population (not included),n/e,lancet_americas/pipeline/11_grd_episode_detail.py,year|variant|position|panel|comuna_norm|n_episodes|n_persons_within_year|cut_comuna|cut_region|match_method|name|level|suppression_flag|n_episodes_display|unit|denominator|script
grd_year_summary.csv,576,18,n/e,n/e,n/e,01_grd_core.py|01b_deis_egresos.py|06_models.py|08a_figures_grd.py|08c_figures_triangulation.py|08d_figure_dataflow.py|09a_tables_main.py|11_grd_episode_detail.py|12_methods_extended.py|13_extra_figures_hospital.py|15_extra_figures_context.py|15b_spatial_correlation.py|16_extra_tables.py|17_extended_material.py,year|variant|panel|activity|position|n_episodes_f84|n_episodes_total_same_panel_activity|rate_per_100k_episodes|rate_lo|rate_hi|persons_within_year|n_f84_without_valid_id|coding_depth_mean_all|coding_depth_median_all|coding_depth_mean_f84|coding_depth_median_f84|hospitals_n|identifier_column
hospital_effects.csv,144,34,n/e,n/e,n/e,lancet_americas/pipeline/06_models.py,variant|COD_HOSPITAL|hospital_name|in_fixed_panel|n_episodes_total|n_f84_any|n_f84_principal|coding_depth_mean|rate_2024|rate_lo|rate_hi|effect_log_fixed_effects_depth|effect_log_fixed_effects_none|effect_log_random_intercept_depth|effect_log_random_intercept_none|effect_se_fixed_effects_depth|effect_se_fixed_effects_none|effect_se_random_intercept_depth|effect_se_random_intercept_none|rr_fixed_effects_depth|rr_fixed_effects_none|rr_random_intercept_depth|rr_random_intercept_none|rr_hi_fixed_effects_depth|rr_hi_fixed_effects_none|rr_hi_random_intercept_depth|rr_hi_random_intercept_none|rr_lo_fixed_effects_depth|rr_lo_fixed_effects_none|rr_lo_random_intercept_depth|rr_lo_random_intercept_none|rate_unit|effects_note|script
