File,Rows,Number of columns,Unit,Declared denominator,Geography,Producing script,Columns
rem20_panel.csv,7,12,discharges (episodes); bed-days available,n/e,n/e,03_denominators.py|08a_figures_grd.py|09a_tables_main.py|15_extra_figures_context.py,year|establishments_reporting|establishments_with_12_months|establishments_panel|discharges_total|discharges_panel_188|retention_discharges|bed_days_available_total|bed_days_available_panel_188|retention_bed_days|unit|note
rem20_panel_establishments.csv,188,5,n/e,n/e,n/e,03_denominators.py,codigo_establecimiento|establecimiento|cod_sss|glosa_sss|discharges_2019_2025
rem_a05_age_sex_annual.csv,"2,664",15,entries reported | exits reported,n/e,n/e,02_rem_pathway.py|06_models.py|08b_figures_rem.py|09b_tables_supplementary.py|14_extra_figures_rem.py|15_extra_figures_context.py|15b_spatial_correlation.py|16_extra_tables.py,year|module|code|variant|flow|category|indicator|sex|age_group|source_col|unit|count|n_rows|n_rows_cell_present|n_reporting_establishments
rem_code_dictionary_check.csv,399,20,n/e,n/e,n/e,02_rem_pathway.py|09b_tables_supplementary.py|12_methods_extended.py,year|series|sheet|code|in_era|era|indicator|found_in_dictionary|label|section|col01_meaning|col02_meaning|col03_meaning|col04_meaning|col37_meaning|n_col_tokens|age_columns|layout_check|dictionary_file|excel_row
rem_establishment_year.csv,"70,264",23,n/e,n/e,n/e,02_rem_pathway.py|08a_figures_grd.py|08b_figures_rem.py|08c_figures_triangulation.py|09b_tables_supplementary.py|14_extra_figures_rem.py|16_extra_tables.py,year|series|module|code|IdEstablecimiento|IdServicio|IdRegion|IdComuna|id_comuna_5d|months_with_rows|n_rows|months_value|months_zero|months_empty|n_exact_duplicate_rows|annual_total|december_value|june_value|has_december_row|has_june_row|in_stable_panel|value_rule|n_geo_conflicts_year_establishment
rem_pathway_annual.csv,346,32,children reported | entries reported | exits reported,n/e,n/e,lancet_americas/pipeline/02_rem_pathway.py,year|series|module|code|variant|identical_across_variants|indicator|era|era_start|era_end|domain|setting|unit|measure|month|aggregation_rule|total|total_dedup|n_reporting_establishments|n_establishments_value_gt0|n_rows|n_rows_value|n_rows_zero|n_rows_empty|n_rows_exact_duplicate|months_covered|n_stable_panel_establishments|stable_panel_total|comparability_warning|note|source_file|script
rem_pathway_tidy.csv,"211,370",73,n/e,n/e,n/e,02_rem_pathway.py|08b_figures_rem.py|13_extra_figures_hospital.py|14_extra_figures_rem.py|15_extra_figures_context.py|15b_spatial_correlation.py,year|series|module|code|IdServicio|IdRegion|IdComuna|id_comuna_5d|IdEstablecimiento|month|in_era|col01|col02|col03|col04|col05|col06|col07|col08|col09|col10|col11|col12|col13|col14|col15|col16|col17|col18|col19|col20|col21|col22|col23|col24|col25|col26|col27|col28|col29|col30|col31|col32|col33|col34|col35|col36|col37|col38|col39|col40|col41|col42|col43|col44|col45|col46|col47|col48|col49|col50|col01_num|col02_num|col03_num|total_rule|total_known|state|a03_one_sex_cell_empty|exact_duplicate|key_conflict|n_nonnumeric_cells|n_negative_cells|source_file
spatial_bivariate_local.csv,"1,368",15,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,variant|indicator_x|indicator_y|cut_comuna|x_z|lag_y_z|bv_local_i|bv_local_p_sim|bv_local_quadrant|bv_bh_reject|bv_bh_critical_p|bv_class|bv_i_global|bv_p_global|script
spatial_bivariate_moran.csv,182,10,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,variant|indicator_x|indicator_y|weights|spearman_rho|bv_i|bv_p_sim|bv_z|n|script
spatial_comuna_indicators.csv,"42,212",17,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,year|cut_comuna|indicator|count|reported|variant|cut_region|population|rate_per_100k|geography_numerator|denominator_compatible|kind|source|count_state|suppressed|variant_note|script
spatial_comuna_standardised.csv,"20,760",28,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,cut_comuna|indicator|variant|population_base|observed|expected|expected_unscaled|expected_scaling_factor|person_years|rate_per_100k|standardisation|years_in_period|years_reported|rate_lo|rate_hi|sir|sir_lo|sir_hi|sir_eb|eb_weight|prior_mean|prior_variance|suppressed|never_reported|period|years|cut_region|script
spatial_context_comuna.csv,"1,382",10,"percentage of the comuna population; SAE 2024 small-area estimates carry their own lower and upper limit, which is reported and never propagated into the correl",n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,cut_comuna|indicator|value|value_lo|value_hi|in_casen_sample|sae_estimator|reference_year|script|unit
spatial_correlations.csv,364,12,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,variant|scope|indicator_x|indicator_y|value_type_x|value_type_y|rho|rho_lo|rho_hi|p_value|n|script
spatial_denominator_sensitivity.csv,"1,384",27,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,cut_comuna|indicator|variant|population_base|observed|expected|expected_unscaled|expected_scaling_factor|person_years|rate_per_100k|standardisation|years_in_period|years_reported|rate_lo|rate_hi|sir|sir_lo|sir_hi|sir_eb|eb_weight|prior_mean|prior_variance|suppressed|never_reported|period|years|script
spatial_dictionary.csv,12,8,"comuna × context indicator: percentage with its own interval | comuna × indicator × period: observed, expected, ratios | comuna × indicator: LISA quadrant, Gi* class and their p-values",INE base 2017 (30 June) comuna population | INE base 2017 person-years | INE base 2017 population,as above | comuna | comuna and region,lancet_americas/pipeline/15b_spatial_correlation.py,table|unit|geography|denominator|definition_era|note|variants|script
spatial_inequality.csv,142,21,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,variant|indicator|years|n_comunas|total_count|gini|top_decile_event_share|theil|theil_between|theil_within|theil_between_share|top_decile_rate|bottom_decile_rate|decile_ratio|decile_ratio_comunas_with_events|n_comunas_with_events|n_comunas_zero|n_comunas_never_reported|geography_numerator|denominator_compatible|script
spatial_lisa.csv,"2,736",36,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,cut_comuna|value|z_value|spatial_lag_z|lisa_i|lisa_z|lisa_p_sim|lisa_p_z_sim|lisa_quadrant|lisa_bh_reject|lisa_bh_critical_p|lisa_class|gi_z|gi_p_sim|gi_p_z_sim|gi_bh_reject|gi_bh_critical_p|gi_class|indicator|variant|value_type|weights|cut_region|observed|expected|person_years|rate_per_100k|sir|sir_lo|sir_hi|sir_eb|eb_weight|suppressed|comuna_name_ine|region_name|script
spatial_moran.csv,418,19,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,variant|scope|indicator|value_type|weights|years|subset|morans_i|expected_i|z_norm|p_norm|p_sim|sim_mean|sim_sd|n|permutations|seed|n_imputed_to_mean|script
spatial_region_summary.csv,448,19,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,cut_region|observed|expected|person_years|rate_per_100k|rate_lo|rate_hi|sir|sir_lo|sir_hi|sir_eb|eb_weight|prior_mean|prior_variance|indicator|variant|region_name|value|script
spatial_stability.csv,122,10,n/e,n/e,n/e,lancet_americas/pipeline/15b_spatial_correlation.py,variant|indicator|comparison|basis|rho|rho_lo|rho_hi|p_value|n|script
survey_design_check.csv,14,7,n/e,n/e,n/e,04_surveys.py,check|design|quantity|value|reference|ratio|note
survey_estimates.csv,35,38,n/e,n/e,n/e,lancet_americas/pipeline/04_surveys.py,survey|survey_year|variant|module|domain|domain_definition|subgroup_type|subgroup|estimate_type|item_variable|item_wording|positive_definition|weight_var|strata_var|psu_var|n|cases|proportion|proportion_unit|se|lo|hi|ci_method|weighted_total|weighted_population|weighted_unit|deff|rse|df|n_psu|n_strata|precision_flag|deff_note|variant_note|source_file|source_sha256|source_documents|script
survey_items_dictionary.csv,16,12,n/e,n/e,n/e,04_surveys.py|09b_tables_supplementary.py,survey|module|variable|variable_label|question_wording|respondent|universe|response_codes|missing_codes|treatment_in_analysis|role|source_document
