comuna,comuna_norm,hospitalizations,asr
PIRQUE,PIRQUE,34,279.7
PORTEZUELO,PORTEZUELO,6,349.92
PORVENIR,PORVENIR,10,388.43
POZO ALMONTE,POZO ALMONTE,27,316.46
PROVIDENCIA,PROVIDENCIA,87,213.55
PUCHUNCAVÍ,PUCHUNCAVI,18,233.96
PUDAHUEL,PUDAHUEL,196,188.61
PUENTE ALTO,PUENTE ALTO,1341,497.66
PUERTO MONTT,PUERTO MONTT,10,9.99
PUERTO OCTAY,PUERTO OCTAY,10,302.59
PUNITAQUI,PUNITAQUI,13,271.55
PUNTA ARENAS,PUNTA ARENAS,344,625.97
PURRANQUE,PURRANQUE,20,272.59
PUTAENDO,PUTAENDO,14,212.9
PUYEHUE,PUYEHUE,19,456.9
QUILACO,QUILACO,1,74.12
QUILICURA,QUILICURA,202,178.29
QUILLECO,QUILLECO,16,489.16
QUILLÓN,QUILLON,25,405.42
QUILLOTA,QUILLOTA,153,408.3
QUILPUE,QUILPUE,234,385.77
QUINTA NORMAL,QUINTA NORMAL,93,187.12
QUINTERO,QUINTERO,44,291.24
QUIRIHUE,QUIRIHUE,14,347.06
RANCAGUA,RANCAGUA,4,4.0
RÁNQUIL,RANQUIL,7,367.94
RAUCO,RAUCO,7,163.16
RECOLETA,RECOLETA,152,232.52
RENCA,RENCA,125,188.36
RENGO,RENGO,1,3.89
RETIRO,RETIRO,22,283.5
RINCONADA,RINCONADA,6,123.27
RÍO BUENO,RIO BUENO,15,127.89
RÍO CLARO,RIO CLARO,9,174.7
RÍO HURTADO,RIO HURTADO,1,73.62
RÍO NEGRO,RIO NEGRO,10,203.54
ROMERAL,ROMERAL,21,357.81
SAGRADA FAMILIA,SAGRADA FAMILIA,11,162.13
SALAMANCA,SALAMANCA,10,96.04
SAN ANTONIO,SAN ANTONIO,128,344.35
SAN BERNARDO,SAN BERNARDO,492,339.82
SAN CARLOS,SAN CARLOS,202,972.72
SAN CLEMENTE,SAN CLEMENTE,49,272.97
SAN ESTEBAN,SAN ESTEBAN,13,158.94
SAN FABIÁN,SAN FABIAN,9,614.33
SAN FELIPE,SAN FELIPE,84,251.43
SAN FERNANDO,SAN FERNANDO,1,3.18
SAN GREGORIO,SAN GREGORIO,1,846.75
SAN IGNACIO,SAN IGNACIO,17,280.87
SAN JAVIER,SAN JAVIER,53,287.71
SAN JOAQUÍN,SAN JOAQUIN,137,406.83
SAN JOSÉ DE MAIPO,SAN JOSE DE MAIPO,28,400.93
SAN JUAN DE LA COSTA,SAN JUAN DE LA COSTA,15,660.3
SAN MIGUEL,SAN MIGUEL,113,258.52
SAN NICOLÁS,SAN NICOLAS,38,910.9
SAN PABLO,SAN PABLO,9,260.74
SAN PEDRO,SAN PEDRO,5,113.8
SAN PEDRO DE ATACAMA,SAN PEDRO DE ATACAMA,10,239.77
SAN RAFAEL,SAN RAFAEL,9,236.37
SAN RAMÓN,SAN RAMON,121,393.66
SAN ROSENDO,SAN ROSENDO,1,73.62
SAN VICENTE,SAN VICENTE,1,6.88
SANTA BÁRBARA,SANTA BARBARA,19,344.19
SANTA CRUZ,SANTA CRUZ,1,6.51
SANTA MARIA,SANTA MARIA,7,107.29
SANTIAGO,SANTIAGO,593,512.57
SANTO DOMINGO,SANTO DOMINGO,10,205.74
SIERRA GORDA,SIERRA GORDA,1,156.32
TALAGANTE,TALAGANTE,85,248.24
TALCA,TALCA,234,266.4
TALCAHUANO,TALCAHUANO,425,736.47
TALTAL,TALTAL,12,209.98
TEMUCO,TEMUCO,1,0.79
TENO,TENO,29,240.32
TIERRA AMARILLA,TIERRA AMARILLA,15,239.97
TILTIL,TILTIL,16,179.86
TOCOPILLA,TOCOPILLA,48,403.94
TOME,TOME,134,646.56
TREGUACO,TREGUACO,10,487.11
TUCAPEL,TUCAPEL,31,586.02
VALDIVIA,VALDIVIA,260,401.01
VALLENAR,VALLENAR,110,474.85
VALPARAISO,VALPARAISO,553,494.17
VICHUQUÉN,VICHUQUEN,1,81.96
VICUÑA,VICUNA,23,195.54
VILLA ALEGRE,VILLA ALEGRE,14,224.77
VILLA ALEMANA,VILLA ALEMANA,174,319.07
VIÑA DEL MAR,VINA DEL MAR,556,454.24
VITACURA,VITACURA,14,38.82
YERBAS BUENAS,YERBAS BUENAS,25,341.45
YUMBEL,YUMBEL,40,539.9
YUNGAY,YUNGAY,32,461.64
