region,comuna,comuna_norm,hospitalizations,asr
Metropolitana,COLINA,COLINA,102,113.94
Metropolitana,CONCHALÍ,CONCHALI,114,237.0
Metropolitana,CURACAVÍ,CURACAVI,28,195.55
Metropolitana,EL BOSQUE,EL BOSQUE,288,442.6
Metropolitana,EL MONTE,EL MONTE,41,237.08
Metropolitana,ESTACIÓN CENTRAL,ESTACION CENTRAL,220,325.07
Metropolitana,HUECHURABA,HUECHURABA,89,178.09
Metropolitana,INDEPENDENCIA,INDEPENDENCIA,138,295.31
Metropolitana,ISLA DE MAIPO,ISLA DE MAIPO,29,170.5
Metropolitana,LA CISTERNA,LA CISTERNA,102,299.88
Metropolitana,LA FLORIDA,LA FLORIDA,535,374.8
Metropolitana,LA GRANJA,LA GRANJA,172,392.71
Metropolitana,LA PINTANA,LA PINTANA,208,259.67
Metropolitana,LA REINA,LA REINA,41,113.21
Metropolitana,LAMPA,LAMPA,144,224.63
Metropolitana,LAS CONDES,LAS CONDES,58,55.32
Metropolitana,LO BARNECHEA,LO BARNECHEA,29,52.98
Metropolitana,LO ESPEJO,LO ESPEJO,179,480.46
Metropolitana,LO PRADO,LO PRADO,63,173.41
Metropolitana,MACUL,MACUL,98,222.3
Metropolitana,MAIPU,MAIPU,503,232.25
Metropolitana,MARIA PINTO,MARIA PINTO,9,163.56
Metropolitana,MELIPILLA,MELIPILLA,150,263.67
Metropolitana,ÑUÑOA,NUNOA,149,205.72
Metropolitana,PADRE HURTADO,PADRE HURTADO,36,112.29
Metropolitana,PAINE,PAINE,107,303.4
Metropolitana,PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,151,423.07
Metropolitana,PEÑAFLOR,PENAFLOR,67,158.08
Metropolitana,PEÑALOLÉN,PENALOLEN,224,211.67
Metropolitana,PIRQUE,PIRQUE,34,279.7
Metropolitana,PROVIDENCIA,PROVIDENCIA,87,213.55
Metropolitana,PUDAHUEL,PUDAHUEL,196,188.61
Metropolitana,PUENTE ALTO,PUENTE ALTO,1340,497.28
Metropolitana,QUILICURA,QUILICURA,199,175.56
Metropolitana,QUINTA NORMAL,QUINTA NORMAL,93,187.12
Metropolitana,RECOLETA,RECOLETA,151,230.97
Metropolitana,RENCA,RENCA,125,188.36
Metropolitana,SAN BERNARDO,SAN BERNARDO,492,339.82
Metropolitana,SAN JOAQUÍN,SAN JOAQUIN,137,406.83
Metropolitana,SAN JOSÉ DE MAIPO,SAN JOSE DE MAIPO,28,400.93
Metropolitana,SAN MIGUEL,SAN MIGUEL,113,258.52
Metropolitana,SAN PEDRO,SAN PEDRO,5,113.8
Metropolitana,SAN RAMÓN,SAN RAMON,121,393.66
Metropolitana,SANTIAGO,SANTIAGO,590,509.5
Metropolitana,TALAGANTE,TALAGANTE,85,248.24
Metropolitana,TILTIL,TILTIL,16,179.86
Metropolitana,VITACURA,VITACURA,14,38.82
Tarapacá,ALTO HOSPICIO,ALTO HOSPICIO,209,297.3
Tarapacá,CAMIÑA,CAMINA,1,158.49
Tarapacá,HUARA,HUARA,1,70.63
Tarapacá,IQUIQUE,IQUIQUE,354,390.17
Tarapacá,PICA,PICA,12,495.95
