year,hosp_male,pop_male,crude_rate_male,asr_male,hosp_female,pop_female,crude_rate_female,asr_female,hosp_total,pop_total,crude_rate_total,asr_total
2019,1821,9255278.0,19.68,24.15,605,8809204.0,6.87,8.35,2426,18708907.0,12.97,16.39
2020,1224,9422705.0,12.99,16.11,436,8449819.0,5.16,5.93,1660,19458310.0,8.53,11.11
2021,1827,9708512.0,18.82,23.91,599,8051120.0,7.44,8.15,2426,19678363.0,12.33,16.16
2022,2909,8993116.0,32.35,38.7,1039,9047685.0,11.48,14.23,3948,19238278.0,20.52,26.68
2023,4534,9848466.0,46.04,60.8,1990,9262652.0,21.48,27.13,6524,19960889.0,32.68,44.27
2024,5889,9675640.0,60.86,79.16,2984,10175877.0,29.32,40.25,8873,20086377.0,44.17,60.07
