year,sex,hospitalizations,population,crude_rate,asr
2019,Female,605,8809204.0,6.87,8.35
2019,Male,1821,9255278.0,19.68,24.15
2020,Female,436,8449819.0,5.16,5.93
2020,Male,1224,9422705.0,12.99,16.11
2021,Female,599,8051120.0,7.44,8.15
2021,Male,1827,9708512.0,18.82,23.91
2022,Female,1039,9047685.0,11.48,14.23
2022,Male,2909,8993116.0,32.35,38.7
2023,Female,1990,9262652.0,21.48,27.13
2023,Male,4534,9848466.0,46.04,60.8
2024,Female,2984,10175877.0,29.32,40.25
2024,Male,5889,9675640.0,60.86,79.16
